Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Participação_percentil,Defesa_percentil,Construção_percentil
D. Michalski,Greuther Fürth,ZAGUEIRO,GER2,-0.55,-0.87,-0.93,30.0,27.0,32.0
T. Kalas,Schalke 04,ZAGUEIRO,GER2,0.17,-0.19,-0.99,54.0,49.0,31.0
C. Kleine-Bekel,Holstein Kiel,ZAGUEIRO,GER2,0.83,-0.29,-0.15,76.0,41.0,47.0
R. Ivanov,Eintracht Braunschweig,ZAGUEIRO,GER2,-1.01,0.75,0.58,19.0,78.0,64.0
P. Erras,Holstein Kiel,ZAGUEIRO,GER2,-0.0,-1.54,-0.21,50.0,12.0,46.0
A. Rossipal,Hansa Rostock,ZAGUEIRO,GER2,-1.28,-0.29,0.23,12.0,42.0,55.0
H. Kuruçay,Eintracht Braunschweig,ZAGUEIRO,GER2,-0.12,1.94,0.45,43.0,91.0,61.0
Daniel Elfadli,Magdeburg,ZAGUEIRO,GER2,2.02,3.33,-2.11,99.0,100.0,12.0
M. Dárdai,Hertha BSC,ZAGUEIRO,GER2,-2.55,-2.07,0.09,3.0,5.0,51.0
J. Horn,Nürnberg,ZAGUEIRO,GER2,-0.49,-2.01,-0.3,31.0,7.0,45.0
G. Jung,Greuther Fürth,ZAGUEIRO,GER2,-0.85,-1.76,1.78,20.0,9.0,86.0
E. Smith,St. Pauli,ZAGUEIRO,GER2,0.29,-1.65,2.14,58.0,11.0,88.0
A. Vukotić,Wehen Wiesbaden,ZAGUEIRO,GER2,0.7,1.99,2.14,70.0,93.0,89.0
T. Becker,Holstein Kiel,ZAGUEIRO,GER2,-0.18,0.69,-1.81,42.0,77.0,18.0
M. Dietz,Greuther Fürth,ZAGUEIRO,GER2,0.41,-1.49,1.09,64.0,14.0,76.0
R. Fellhauer,Elversberg,ZAGUEIRO,GER2,1.36,1.37,0.81,93.0,85.0,70.0
B. Arrey-Mbi,Hannover 96,ZAGUEIRO,GER2,-1.2,-0.5,-2.14,16.0,32.0,9.0
M. Kamiński,Schalke 04,ZAGUEIRO,GER2,-0.09,-0.19,0.47,45.0,50.0,62.0
M. Franke,Karlsruher SC,ZAGUEIRO,GER2,0.3,-1.19,0.6,59.0,19.0,66.0
B. Tomiak,Kaiserslautern,ZAGUEIRO,GER2,0.16,-0.57,-1.39,53.0,30.0,23.0
M. Mathisen,Wehen Wiesbaden,ZAGUEIRO,GER2,1.06,2.72,1.56,85.0,99.0,84.0
M. Hoffmeier,Paderborn,ZAGUEIRO,GER2,-2.21,-2.54,0.95,5.0,1.0,73.0
M. Gyamfi,Osnabrück,ZAGUEIRO,GER2,-0.26,-0.64,-3.03,41.0,28.0,1.0
H. Wahl,St. Pauli,ZAGUEIRO,GER2,0.83,-1.34,0.13,74.0,15.0,53.0
M. Halstenberg,Hannover 96,ZAGUEIRO,GER2,-0.02,-0.22,3.1,47.0,47.0,97.0
D. Roßbach,Hansa Rostock,ZAGUEIRO,GER2,-0.29,0.47,-0.4,39.0,64.0,43.0
K. Mets,St. Pauli,ZAGUEIRO,GER2,0.65,-1.21,2.57,66.0,18.0,93.0
D. Heber,Magdeburg,ZAGUEIRO,GER2,1.65,-0.01,1.37,96.0,54.0,81.0
P. Neumann,Hannover 96,ZAGUEIRO,GER2,1.09,0.6,0.29,86.0,72.0,57.0
J. Elvedi,Kaiserslautern,ZAGUEIRO,GER2,-0.69,0.86,-2.13,24.0,80.0,11.0
T. Pasalidis,Salernitana,ZAGUEIRO,GRE,0.14,-0.37,-0.36,57.0,41.0,41.0
André Teixeira,Kifissia,ZAGUEIRO,GRE,-2.29,-0.37,0.43,2.0,43.0,59.0
Pichu Atienza,Asteras Tripolis,ZAGUEIRO,GRE,-0.82,-1.76,-1.17,26.0,9.0,26.0
W. Troost-Ekong,PAOK,ZAGUEIRO,GRE,0.36,-2.27,1.65,65.0,4.0,83.0
S. Akaydin,Panathinaikos,ZAGUEIRO,GRE,0.08,0.62,1.85,52.0,65.0,89.0
K. Aslanidis,Volos NFC,ZAGUEIRO,GRE,-0.36,2.72,-2.46,35.0,100.0,9.0
David Carmo,Olympiacos Piraeus,ZAGUEIRO,GRE,1.81,0.98,0.81,93.0,74.0,74.0
M. Bakadimas,PAS Giannina,ZAGUEIRO,GRE,-2.18,-1.83,-2.92,4.0,7.0,4.0
A. Karo,Maccabi Petah Tikva,ZAGUEIRO,GRE,-0.38,-1.67,-0.8,33.0,11.0,33.0
L. Rose,Aris,ZAGUEIRO,GRE,-1.1,-0.83,0.5,20.0,30.0,63.0
G. Michailidis,PAOK,ZAGUEIRO,GRE,-1.21,-1.56,2.46,15.0,15.0,93.0
A. Avlonitis,Panserraikos,ZAGUEIRO,GRE,-1.19,-1.37,-1.98,17.0,17.0,17.0
K. Thymianis,Panserraikos,ZAGUEIRO,GRE,0.67,-0.18,0.47,72.0,50.0,61.0
B. Schenkeveld,Panathinaikos,ZAGUEIRO,GRE,-0.02,-1.63,-0.79,50.0,13.0,35.0
G. Kornezos,Lamia,ZAGUEIRO,GRE,0.62,2.24,-3.02,70.0,98.0,2.0
D. Tsakmakis,Atromitos,ZAGUEIRO,GRE,-1.89,-0.29,0.59,9.0,46.0,67.0
A. Ntoi,Olympiacos Piraeus,ZAGUEIRO,GRE,1.14,-0.41,1.83,89.0,39.0,87.0
L. Capan,Kifissia,ZAGUEIRO,GRE,-1.69,0.74,-2.13,11.0,70.0,15.0
V. Lampropoulos,OFI,ZAGUEIRO,GRE,-0.27,0.64,-0.72,37.0,67.0,37.0
M. Oikonomou,Panetolikos FC,ZAGUEIRO,GRE,0.32,1.45,-1.09,63.0,85.0,28.0
T. Tsokanis,Volos NFC,ZAGUEIRO,GRE,0.09,-0.17,0.03,54.0,52.0,48.0
A. Malis,Panetolikos FC,ZAGUEIRO,GRE,-0.03,1.57,-1.8,48.0,89.0,22.0
B. Duarte,Panetolikos FC,ZAGUEIRO,GRE,1.92,2.01,-2.56,96.0,96.0,7.0
S. Mladen,Panetolikos FC,ZAGUEIRO,GRE,0.27,0.15,1.22,61.0,59.0,78.0
L. Acevedo,Atromitos,ZAGUEIRO,GRE,0.89,1.35,2.37,78.0,80.0,91.0
K. Papadopoulos,Lamia,ZAGUEIRO,GRE,-0.09,1.17,0.3,43.0,78.0,57.0
K. Koulierakis,PAOK,ZAGUEIRO,GRE,1.12,-0.76,1.67,85.0,33.0,85.0
E. Zukanović,Asteras Tripolis,ZAGUEIRO,GRE,0.54,-0.92,1.57,67.0,26.0,80.0
T. Jedvaj,Panathinaikos,ZAGUEIRO,GRE,0.79,-0.13,4.26,76.0,54.0,100.0
P. Retsos,Olympiacos Piraeus,ZAGUEIRO,GRE,0.98,0.08,0.58,80.0,57.0,65.0
C. Sielis,Volos NFC,ZAGUEIRO,GRE,-0.89,-1.04,-1.92,24.0,24.0,20.0
G. Tzavellas,Atromitos,ZAGUEIRO,GRE,0.23,-1.18,0.63,59.0,22.0,70.0
A. Callens,AEK Athens,ZAGUEIRO,GRE,2.07,0.4,-0.19,98.0,63.0,43.0
A. Kalogeropoulos,Volos NFC,ZAGUEIRO,GRE,-0.05,1.59,0.07,46.0,91.0,52.0
E. Pantelakis,PAS Giannina,ZAGUEIRO,GRE,1.14,-0.44,0.07,87.0,37.0,50.0
R. Erramuspe,PAS Giannina,ZAGUEIRO,GRE,1.07,-0.27,0.65,83.0,48.0,72.0
Fabiano,Aris,ZAGUEIRO,GRE,-0.16,1.39,2.93,39.0,83.0,96.0
Willian Arão,Panathinaikos,ZAGUEIRO,GRE,-0.59,-0.52,3.13,28.0,35.0,98.0
N. Vafeas,Kifissia,ZAGUEIRO,GRE,-2.12,0.31,-1.29,7.0,61.0,24.0
T. Kędziora,PAOK,ZAGUEIRO,GRE,-0.43,-2.49,0.94,30.0,2.0,76.0
Pepe Castaño,Asteras Tripolis,ZAGUEIRO,GRE,-0.15,-0.86,-0.84,41.0,28.0,30.0
D. Vida,AEK Athens,ZAGUEIRO,GRE,2.25,0.97,-0.08,100.0,72.0,46.0
A. Tzanetopoulos,Lamia,ZAGUEIRO,GRE,0.72,1.48,-2.23,74.0,87.0,13.0
E. Bergström,Panserraikos,ZAGUEIRO,GRE,-1.55,-1.24,-2.32,13.0,20.0,11.0
P. Vouros,OFI,ZAGUEIRO,GRE,-1.1,1.6,0.27,22.0,93.0,54.0
J. Brabec,Aris,ZAGUEIRO,GRE,1.36,1.06,-0.62,91.0,76.0,39.0
A. Kaplan,Ajax,ZAGUEIRO,HOL,2.27,1.01,2.07,100.0,89.0,91.0
R. Meissen,Sparta Rotterdam,ZAGUEIRO,HOL,-1.26,-0.46,-1.97,11.0,39.0,9.0
M. Sagnan,Montpellier,ZAGUEIRO,HOL,-1.21,-1.21,-1.67,17.0,19.0,15.0
S. Voet,Fortuna Sittard,ZAGUEIRO,HOL,-1.27,0.88,-2.2,9.0,83.0,4.0
S. Bultman,Heracles,ZAGUEIRO,HOL,1.16,2.6,-1.87,80.0,98.0,11.0
W. Goes,AZ,ZAGUEIRO,HOL,1.32,0.05,2.16,89.0,46.0,94.0
M. Ross,NEC,ZAGUEIRO,HOL,-1.1,-0.81,-1.38,22.0,24.0,24.0
T. Beelen,Feyenoord,ZAGUEIRO,HOL,0.66,-1.76,0.15,69.0,6.0,61.0
L. Mbe Soh,Almere City,ZAGUEIRO,HOL,0.67,-0.37,-1.75,70.0,43.0,13.0
G. Trauner,Feyenoord,ZAGUEIRO,HOL,1.75,-0.66,0.69,94.0,30.0,70.0
S. Nieuwpoort,Excelsior,ZAGUEIRO,HOL,-0.66,-3.32,-2.46,35.0,2.0,2.0
S. Sonnenberg,Heracles,ZAGUEIRO,HOL,-0.52,1.05,-1.64,39.0,91.0,17.0
S. van Ottele,Heerenveen,ZAGUEIRO,HOL,-1.01,0.51,1.85,24.0,59.0,83.0
Alexandre Penetra,AZ,ZAGUEIRO,HOL,0.86,-1.29,-0.36,72.0,15.0,57.0
J. Amofa,Go Ahead Eagles,ZAGUEIRO,HOL,-0.71,-0.72,1.37,31.0,26.0,80.0
M. Eerdhuijzen,Sparta Rotterdam,ZAGUEIRO,HOL,0.17,0.39,2.04,52.0,57.0,87.0
T. Barbet,Almere City,ZAGUEIRO,HOL,1.19,0.17,-0.91,83.0,52.0,37.0
T. Velthuis,Sparta Rotterdam,ZAGUEIRO,HOL,-0.93,-1.11,-0.82,26.0,20.0,43.0
G. Nauber,Go Ahead Eagles,ZAGUEIRO,HOL,-0.69,-1.32,-0.45,33.0,13.0,52.0
J. Gaari,RKC Waalwijk,ZAGUEIRO,HOL,-1.33,0.6,-1.41,7.0,69.0,22.0
M. van der Hoorn,Utrecht,ZAGUEIRO,HOL,-1.18,-0.64,1.12,19.0,31.0,78.0
P. Sandler,NEC,ZAGUEIRO,HOL,-0.01,-1.38,1.05,48.0,7.0,76.0
D. Oroz,Vitesse,ZAGUEIRO,HOL,0.32,0.06,-0.47,63.0,48.0,50.0
J. Šutalo,Ajax,ZAGUEIRO,HOL,1.89,0.9,-1.11,98.0,85.0,33.0
J. Jacobs,Almere City,ZAGUEIRO,HOL,-2.12,0.73,-0.42,4.0,76.0,54.0
J. Flint,Volendam,ZAGUEIRO,HOL,0.16,2.68,-1.12,50.0,100.0,31.0
B. Benamar,Volendam,ZAGUEIRO,HOL,0.28,-0.42,0.07,59.0,41.0,59.0
N. Isimat-Mirin,Vitesse,ZAGUEIRO,HOL,0.91,2.04,-1.64,76.0,94.0,19.0
M. Hilgers,Twente,ZAGUEIRO,HOL,0.24,-1.22,-0.57,57.0,17.0,48.0
C. Widell,Excelsior,ZAGUEIRO,HOL,-1.24,-0.57,-1.5,13.0,35.0,20.0
R. El Yaakoubi,Excelsior,ZAGUEIRO,HOL,0.41,0.53,-0.69,67.0,63.0,46.0
André Ramalho,PSV,ZAGUEIRO,HOL,-0.17,-0.52,4.21,44.0,37.0,98.0
R. Bazoer,AZ,ZAGUEIRO,HOL,1.4,-2.57,1.9,93.0,4.0,85.0
N. Viergever,Utrecht,ZAGUEIRO,HOL,-0.57,-1.33,-0.38,37.0,11.0,56.0
D. Siovas,Fortuna Sittard,ZAGUEIRO,HOL,-1.87,0.91,-1.35,6.0,87.0,26.0
D. van Bruggen,Almere City,ZAGUEIRO,HOL,0.9,1.25,-2.16,74.0,93.0,6.0
P. Bochniewicz,Heerenveen,ZAGUEIRO,HOL,-0.45,-0.59,2.1,43.0,33.0,93.0
B. Nuytinck,NEC,ZAGUEIRO,HOL,0.19,0.55,0.45,54.0,65.0,65.0
S. Adewoye,RKC Waalwijk,ZAGUEIRO,HOL,-0.78,0.65,-2.02,30.0,72.0,7.0
S. van Beek,Heerenveen,ZAGUEIRO,HOL,-0.46,0.6,0.34,41.0,67.0,63.0
J. Hoogma,Heracles,ZAGUEIRO,HOL,-1.22,-0.95,2.07,15.0,22.0,89.0
B. Vriends,Sparta Rotterdam,ZAGUEIRO,HOL,1.35,0.51,-0.79,91.0,61.0,44.0
T. Lam,PEC Zwolle,ZAGUEIRO,HOL,0.22,0.19,0.63,56.0,54.0,69.0
R. Hendriks,Vitesse,ZAGUEIRO,HOL,1.2,0.14,-1.18,85.0,50.0,30.0
D. Van den Buijs,RKC Waalwijk,ZAGUEIRO,HOL,0.34,0.62,0.91,65.0,70.0,74.0
J. Kramer,Go Ahead Eagles,ZAGUEIRO,HOL,1.88,0.79,-1.01,96.0,78.0,35.0
O. Boscagli,PSV,ZAGUEIRO,HOL,1.06,0.69,6.62,78.0,74.0,100.0
R. Flamingo,Utrecht,ZAGUEIRO,HOL,-2.68,0.87,0.85,2.0,81.0,72.0
D. Mirani,Volendam,ZAGUEIRO,HOL,-0.9,2.36,-1.22,28.0,96.0,28.0
Rodrigo Guth,Fortuna Sittard,ZAGUEIRO,HOL,-1.15,-0.71,-0.84,20.0,28.0,41.0
S. Kersten,PEC Zwolle,ZAGUEIRO,HOL,0.29,0.87,-0.88,61.0,80.0,39.0
J. Hato,Ajax,ZAGUEIRO,HOL,1.18,0.23,0.6,81.0,56.0,67.0
D. Hancko,Feyenoord,ZAGUEIRO,HOL,1.31,-1.33,1.84,87.0,9.0,81.0
R. Pröpper,Twente,ZAGUEIRO,HOL,-0.04,-0.19,3.18,46.0,44.0,96.0
M. Lešković,Kerala Blasters,ZAGUEIRO,IND,-2.65,-1.64,-0.04,6.0,9.0,62.0
José Antonio Pardo,East Bengal,ZAGUEIRO,IND,0.39,-1.43,-1.07,59.0,16.0,25.0
A. Saji,Hyderabad FC,ZAGUEIRO,IND,1.36,1.77,0.85,88.0,91.0,84.0
B. Hamill,Mohun Bagan,ZAGUEIRO,IND,1.29,-0.18,-0.77,84.0,44.0,38.0
S. Jhingan,Goa,ZAGUEIRO,IND,0.84,-0.8,-2.51,78.0,28.0,3.0
M. Rafi,Hyderabad FC,ZAGUEIRO,IND,-0.69,0.21,-0.6,25.0,69.0,44.0
N. Gahlot,Odisha,ZAGUEIRO,IND,1.03,-0.59,0.21,81.0,34.0,78.0
H. Ruivah,Kerala Blasters,ZAGUEIRO,IND,1.43,0.85,2.92,91.0,78.0,91.0
L. Ćirković,Chennaiyin FC,ZAGUEIRO,IND,1.75,1.54,-0.92,97.0,88.0,31.0
S. Damjanović,Bengaluru,ZAGUEIRO,IND,-0.47,-0.9,0.15,31.0,25.0,72.0
A. Ali,Mohun Bagan,ZAGUEIRO,IND,0.21,0.01,4.68,50.0,56.0,100.0
S. Meitei,Punjab,ZAGUEIRO,IND,-3.24,0.06,-0.72,3.0,62.0,41.0
P. Kotal,Kerala Blasters,ZAGUEIRO,IND,-1.48,-0.02,0.71,16.0,53.0,81.0
B. Yumnam,Chennaiyin FC,ZAGUEIRO,IND,-1.07,-1.48,-1.45,19.0,12.0,16.0
Hijazi Maher,East Bengal,ZAGUEIRO,IND,0.34,2.59,-0.25,53.0,97.0,56.0
M. Fall,Odisha,ZAGUEIRO,IND,-0.76,0.18,-0.1,22.0,66.0,59.0
Tiri,Mumbai City,ZAGUEIRO,IND,0.61,0.04,3.72,69.0,59.0,94.0
A. Jovanović,Bengaluru,ZAGUEIRO,IND,0.45,-0.11,0.09,62.0,50.0,66.0
N. Dorjee,Goa,ZAGUEIRO,IND,-0.1,-0.31,-0.4,41.0,41.0,47.0
C. Konsham,Bengaluru,ZAGUEIRO,IND,-0.6,-2.57,1.03,28.0,3.0,88.0
A. Akhtar,NorthEast United,ZAGUEIRO,IND,-0.39,-0.51,-1.54,34.0,38.0,9.0
Míchel Zabaco,NorthEast United,ZAGUEIRO,IND,0.84,0.97,0.1,75.0,81.0,69.0
D. Chatziisaias,Punjab,ZAGUEIRO,IND,-0.36,-0.16,-1.37,38.0,47.0,22.0
P. Laldinpuia,Jamshedpur,ZAGUEIRO,IND,0.54,2.89,-0.38,66.0,100.0,50.0
M. Drinčić,Kerala Blasters,ZAGUEIRO,IND,0.61,1.43,0.18,72.0,84.0,75.0
Elsinho,Jamshedpur,ZAGUEIRO,IND,-0.1,0.33,-1.58,44.0,72.0,6.0
P. Chaudhari,Jamshedpur,ZAGUEIRO,IND,-2.07,-1.79,-0.92,9.0,6.0,28.0
R. Edwards,Chennaiyin FC,ZAGUEIRO,IND,0.15,-0.74,-1.39,47.0,31.0,19.0
Carlos Delgado,Odisha,ZAGUEIRO,IND,1.74,1.98,-0.31,94.0,94.0,53.0
Héctor Yuste,Mohun Bagan,ZAGUEIRO,IND,1.86,-0.99,-0.78,100.0,22.0,34.0
Odei Onaindia,Goa,ZAGUEIRO,IND,-1.84,-1.33,-1.45,12.0,19.0,12.0
S. Bose,Mohun Bagan,ZAGUEIRO,IND,0.35,0.73,3.93,56.0,75.0,97.0
M. Arjunsyah,Persija,ZAGUEIRO,INDO,1.06,0.94,0.07,85.0,76.0,60.0
B. Fatari,Dewa United,ZAGUEIRO,INDO,-0.27,-1.48,0.24,35.0,16.0,64.0
M. Zaenuri,Dewa United,ZAGUEIRO,INDO,-0.37,1.47,-0.45,27.0,82.0,51.0
H. Yama,Persija,ZAGUEIRO,INDO,0.85,0.26,1.54,71.0,60.0,80.0
M. Herrera,Bhayangkara F.C.,ZAGUEIRO,INDO,1.19,2.76,-0.37,89.0,100.0,55.0
A. Satria,Bhayangkara F.C.,ZAGUEIRO,INDO,-0.93,0.59,-1.37,15.0,71.0,25.0
H. Abdillah,Bali United,ZAGUEIRO,INDO,-0.89,0.44,-1.81,20.0,67.0,7.0
J. Guevara,Arema,ZAGUEIRO,INDO,-0.92,-2.95,2.8,16.0,4.0,93.0
N. Diansyah,PSS Sleman,ZAGUEIRO,INDO,-0.02,-1.83,0.83,49.0,11.0,71.0
L. Tupamahu,PSS Sleman,ZAGUEIRO,INDO,-0.02,-0.71,-2.84,51.0,31.0,2.0
J. Mulyana,Bali United,ZAGUEIRO,INDO,-1.19,-0.91,-1.67,13.0,24.0,15.0
N. Kovačević,Mladost DG,ZAGUEIRO,INDO,-0.36,0.66,0.63,29.0,73.0,67.0
E. Gutawa,PSM,ZAGUEIRO,INDO,0.13,2.43,-0.88,56.0,96.0,42.0
D. Salman,PSM,ZAGUEIRO,INDO,1.56,2.28,-0.71,98.0,95.0,47.0
S. Anwar,Arema,ZAGUEIRO,INDO,-1.2,-0.78,-1.69,11.0,25.0,11.0
Diego Bardanca,Persis Solo,ZAGUEIRO,INDO,-1.6,-1.91,-0.23,7.0,7.0,58.0
K. Arel,Bali United,ZAGUEIRO,INDO,0.65,-0.22,-1.68,69.0,49.0,13.0
M. Ferarri,Persija,ZAGUEIRO,INDO,-0.06,-0.57,2.95,47.0,40.0,95.0
Yan Victor,Persebaya Surabaya,ZAGUEIRO,INDO,-0.29,-0.93,-1.16,31.0,22.0,31.0
A. Mannan,Dewa United,ZAGUEIRO,INDO,0.94,1.73,2.43,78.0,87.0,89.0
Ângelo,Rans Nusantara,ZAGUEIRO,INDO,0.36,0.94,1.02,65.0,75.0,73.0
C. de Murga,Barito Putera,ZAGUEIRO,INDO,-0.83,-0.68,-1.87,24.0,36.0,5.0
M. Firly,Barito Putera,ZAGUEIRO,INDO,0.29,-0.01,0.68,62.0,53.0,69.0
Léo Lelis,Borneo FC,ZAGUEIRO,INDO,-2.53,-2.12,1.3,4.0,5.0,76.0
A. Setyo,Persikabo 1973,ZAGUEIRO,INDO,0.91,1.49,-0.94,76.0,84.0,38.0
B. Adi,Arema,ZAGUEIRO,INDO,-0.88,-1.54,-0.96,22.0,15.0,36.0
Jihad Ayoub,PSS Sleman,ZAGUEIRO,INDO,-0.15,-0.38,0.31,44.0,44.0,65.0
R. Ridho,Persija,ZAGUEIRO,INDO,0.9,0.39,3.11,75.0,64.0,96.0
K. Raditya,Persebaya Surabaya,ZAGUEIRO,INDO,-0.16,-0.34,-1.38,42.0,45.0,24.0
D. Wahyu,Persikabo 1973,ZAGUEIRO,INDO,0.09,2.1,-0.37,55.0,89.0,53.0
Charles,Arema,ZAGUEIRO,INDO,-0.26,-0.4,1.86,36.0,42.0,82.0
Jaime,Persis Solo,ZAGUEIRO,INDO,0.65,2.16,2.03,67.0,91.0,84.0
C. Rontini,Persita,ZAGUEIRO,INDO,0.99,2.17,-1.45,82.0,93.0,20.0
Yance Sayuri,PSM,ZAGUEIRO,INDO,1.38,0.5,-0.75,93.0,69.0,45.0
O. Kúdela,Persija,ZAGUEIRO,INDO,-1.23,-3.59,2.55,9.0,2.0,91.0
Anderson,Persik Kediri,ZAGUEIRO,INDO,0.05,-0.77,-0.86,53.0,27.0,44.0
Renan Alves,Barito Putera,ZAGUEIRO,INDO,1.51,2.76,-0.96,96.0,98.0,35.0
Thales,PSS Sleman,ZAGUEIRO,INDO,1.22,0.4,-0.93,91.0,65.0,40.0
Kiko,Rans Nusantara,ZAGUEIRO,INDO,0.36,-0.7,-1.17,64.0,35.0,29.0
W. Prasetyo,PSIS Semarang,ZAGUEIRO,INDO,1.41,1.15,3.18,95.0,78.0,98.0
H. Hehanusa,Persik Kediri,ZAGUEIRO,INDO,-3.59,1.19,-0.64,2.0,80.0,49.0
D. Stevanović,Persebaya Surabaya,ZAGUEIRO,INDO,0.23,-1.71,-1.19,58.0,13.0,27.0
S. Tahar,PSM,ZAGUEIRO,INDO,-0.28,-0.71,-2.4,33.0,33.0,4.0
E. Dolah,Bali United,ZAGUEIRO,INDO,0.96,1.56,-1.48,80.0,85.0,18.0
Alberto Rodríguez,Persib,ZAGUEIRO,INDO,-2.41,-1.91,-1.03,5.0,9.0,33.0
N. Kuipers,Persib,ZAGUEIRO,INDO,1.56,0.05,0.17,100.0,55.0,62.0
R. Miziar,Persis Solo,ZAGUEIRO,INDO,-0.92,-1.01,-1.75,18.0,20.0,9.0
F. Aryanto,Madura United,ZAGUEIRO,INDO,-0.22,-0.71,-0.25,38.0,29.0,56.0
R. Mitrevski,Dewa United,ZAGUEIRO,INDO,-0.14,-0.64,2.28,45.0,38.0,87.0
Silvério,Borneo FC,ZAGUEIRO,INDO,0.26,-1.3,2.18,60.0,18.0,85.0
Anderson Salles,Bhayangkara F.C.,ZAGUEIRO,INDO,-0.59,0.08,-1.49,25.0,56.0,16.0
J. Guseynov,Persita,ZAGUEIRO,INDO,0.88,0.24,1.42,73.0,58.0,78.0
Lucão,PSIS Semarang,ZAGUEIRO,INDO,1.07,0.37,1.18,87.0,62.0,75.0
Yuran Fernandes,PSM,ZAGUEIRO,INDO,1.02,-0.24,-1.41,84.0,47.0,22.0
Cleberson,Madura United,ZAGUEIRO,INDO,-0.19,-0.06,3.32,40.0,51.0,100.0
P. Hatzidiakos,Cagliari,ZAGUEIRO,ITA1,-0.11,-0.87,1.57,46.0,30.0,82.0
F. Daniliuc,Salzburg,ZAGUEIRO,ITA1,1.64,0.79,0.02,94.0,76.0,56.0
N. Pierozzi,Salernitana,ZAGUEIRO,ITA1,-0.55,3.25,-2.3,26.0,99.0,7.0
C. Kabasele,Udinese,ZAGUEIRO,ITA1,-0.04,0.29,-2.84,48.0,67.0,2.0
Y. Bisseck,Internazionale,ZAGUEIRO,ITA1,-1.19,-1.58,-0.75,13.0,13.0,38.0
P. Schuurs,Torino,ZAGUEIRO,ITA1,-1.04,1.12,-1.58,18.0,82.0,20.0
Natan,Napoli,ZAGUEIRO,ITA1,0.59,-0.89,-1.13,73.0,29.0,27.0
A. Obert,Cagliari,ZAGUEIRO,ITA1,0.35,2.05,1.28,64.0,92.0,79.0
M. Viti,Sassuolo,ZAGUEIRO,ITA1,-0.25,1.1,-1.77,38.0,81.0,18.0
M. Wieteska,Cagliari,ZAGUEIRO,ITA1,-0.49,-0.82,-1.83,31.0,31.0,15.0
E. Goldaniga,Como,ZAGUEIRO,ITA1,-2.38,-1.21,1.12,2.0,19.0,76.0
R. Tolói,Atalanta,ZAGUEIRO,ITA1,0.13,0.67,0.61,57.0,73.0,70.0
A. Vogliacco,Genoa,ZAGUEIRO,ITA1,-1.19,0.58,1.69,12.0,69.0,85.0
D. Rugani,Juventus,ZAGUEIRO,ITA1,-0.59,-1.92,-0.42,25.0,7.0,45.0
S. Kjær,Milan,ZAGUEIRO,ITA1,1.22,-0.11,1.97,89.0,46.0,88.0
A. Masina,Torino,ZAGUEIRO,ITA1,0.74,0.08,0.53,79.0,54.0,67.0
Y. Mina,Cagliari,ZAGUEIRO,ITA1,-0.42,0.71,-1.94,33.0,75.0,12.0
M. Gabbia,Milan,ZAGUEIRO,ITA1,0.65,-0.16,0.5,76.0,45.0,65.0
F. Fazio,Salernitana,ZAGUEIRO,ITA1,0.07,0.57,-2.39,54.0,68.0,6.0
A. Carboni,Monza,ZAGUEIRO,ITA1,1.69,0.87,0.12,96.0,77.0,58.0
I. Monterisi,Frosinone,ZAGUEIRO,ITA1,1.21,-0.26,0.65,88.0,44.0,71.0
M. Lovato,Torino,ZAGUEIRO,ITA1,-0.13,2.05,-1.92,45.0,93.0,13.0
Pol Lirola,Frosinone,ZAGUEIRO,ITA1,-1.48,-1.09,-0.99,7.0,21.0,31.0
Ruan Tressoldi,Sassuolo,ZAGUEIRO,ITA1,0.58,-0.37,-2.62,71.0,42.0,5.0
D. D'Ambrosio,Monza,ZAGUEIRO,ITA1,1.35,0.07,0.53,90.0,52.0,68.0
B. Pavard,Internazionale,ZAGUEIRO,ITA1,1.54,-0.91,3.31,93.0,27.0,94.0
D. Coppola,Hellas Verona,ZAGUEIRO,ITA1,-0.61,3.04,-2.1,24.0,98.0,11.0
Patric,Lazio,ZAGUEIRO,ITA1,-0.78,-3.52,1.83,23.0,1.0,87.0
N. Casale,Lazio,ZAGUEIRO,ITA1,-0.51,-1.43,-0.67,27.0,17.0,40.0
S. de Vrij,Internazionale,ZAGUEIRO,ITA1,1.85,-0.02,-1.69,99.0,49.0,19.0
L. Østigård,Napoli,ZAGUEIRO,ITA1,-0.89,-1.49,2.28,19.0,14.0,90.0
R. Drăgușin,Tottenham Hotspur,ZAGUEIRO,ITA1,-2.54,-0.94,-2.87,1.0,25.0,1.0
Mario Gila,Lazio,ZAGUEIRO,ITA1,-1.21,0.15,3.71,11.0,57.0,98.0
A. Izzo,Monza,ZAGUEIRO,ITA1,0.86,-0.45,-0.35,81.0,38.0,48.0
M. Thiaw,Milan,ZAGUEIRO,ITA1,0.09,0.6,0.95,56.0,70.0,75.0
N. Gyömbér,Salernitana,ZAGUEIRO,ITA1,-0.83,1.2,-1.38,20.0,85.0,24.0
B. Bereszyński,Empoli,ZAGUEIRO,ITA1,-1.72,-0.04,-0.26,6.0,48.0,50.0
João Ferreira,Udinese,ZAGUEIRO,ITA1,0.04,2.61,-0.56,50.0,96.0,43.0
I. Hien,Atalanta,ZAGUEIRO,ITA1,0.25,2.46,-2.28,61.0,94.0,8.0
L. Ranieri,Fiorentina,ZAGUEIRO,ITA1,-0.33,0.87,2.71,36.0,79.0,93.0
