Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Ataque,Último passe,Ameaça Ofensiva,Drible,Participação_percentil,Defesa_percentil,Construção_percentil,Ataque_percentil,Último passe_percentil,Ameaça ofensiva_percentil,Drible_percentil
J. Munafo,Asteras Tripolis,MEIO-CAMPO,GRE,0.65,0.35,0.55,0.91,-0.46,-0.98,-1.06,69,61,66,71,51,41,3
C. Núñez,Lamia,MEIO-CAMPO,GRE,0.93,2.58,-1.51,-1.33,-0.97,-1.01,1.71,78,95,20,19,41,37,95
F. Gino,PAS Giannina,MEIO-CAMPO,GRE,0.34,2.36,0.1,-0.37,-1.04,-1.38,-0.8,64,93,56,51,36,27,24
M. Mellado,OFI,MEIO-CAMPO,GRE,2.67,2.96,2.81,0.34,-0.31,-0.65,-0.44,100,98,92,61,59,46,42
V. Darida,Aris,MEIO-CAMPO,GRE,-0.12,-1.93,0.74,1.14,1.28,1.26,-0.29,56,12,71,76,85,80,51
M. Comba,Volos NFC,MEIO-CAMPO,GRE,-0.62,-0.06,-1.01,0.61,-1.07,1.97,0.76,29,51,36,64,29,85,85
Felipe Pires,Dnipro-1,MEIO-CAMPO,GRE,-2.46,-3.41,-2.67,-1.11,-1.05,0.18,0.72,3,2,2,24,32,64,81
P. Mantalos,AEK Athens,MEIO-CAMPO,GRE,1.06,-0.12,4.72,3.68,5.7,2.19,0.79,83,47,100,100,100,88,86
B. Fadiga,Olympiacos Piraeus,MEIO-CAMPO,GRE,0.06,-0.59,-0.66,-0.45,0.12,0.09,4.49,59,39,46,47,71,63,100
G. Masouras,Olympiacos Piraeus,MEIO-CAMPO,GRE,-1.91,-2.0,-1.47,1.61,2.73,6.79,0.22,5,8,24,83,90,100,68
S. Fridjónsson,Atromitos,MEIO-CAMPO,GRE,-2.59,-2.57,-2.45,-1.68,-0.97,0.42,-0.97,2,5,3,12,39,71,12
G. Nikas,Levadiakos,MEIO-CAMPO,GRE,-0.76,0.73,-1.46,-0.53,-0.97,2.72,0.49,25,69,27,46,37,93,76
J. Bartolo,Asteras Tripolis,MEIO-CAMPO,GRE,-1.71,-1.5,-1.46,3.19,2.78,2.62,1.83,7,17,25,98,92,90,97
Jon Toral,OFI,MEIO-CAMPO,GRE,-0.93,-1.95,0.63,1.78,3.65,3.54,0.35,20,10,68,90,95,95,73
M. Bakić,OFI,MEIO-CAMPO,GRE,-1.32,-2.48,1.03,1.68,2.4,0.98,-0.35,15,7,78,88,88,76,49
S. Araújo,AEK Athens,MEIO-CAMPO,GRE,-0.12,-0.37,1.77,1.97,5.62,4.44,0.06,54,41,86,93,98,98,59
A. Camara,Atromitos,MEIO-CAMPO,GRE,0.74,0.33,0.63,0.41,-0.04,1.35,0.67,73,59,69,63,64,81,80
V. Slivka,Lamia,MEIO-CAMPO,GRE,-0.92,-0.72,-0.84,2.23,-0.2,0.31,0.52,22,31,39,95,63,69,78
Bernard,Panathinaikos,MEIO-CAMPO,GRE,-0.31,-1.91,1.07,2.29,4.38,1.57,1.45,41,14,80,97,97,83,93
G. Konstantelias,PAOK,MEIO-CAMPO,GRE,-0.85,-1.52,0.75,1.33,3.28,2.69,1.94,24,15,73,80,93,92,98
M. Paulissen,Warriors,MEIO-CAMPO,HOL,-0.83,0.04,-0.13,-0.14,-0.43,-0.45,-0.28,28,51,56,58,49,53,51
S. Tronstad,Blackburn Rovers,MEIO-CAMPO,HOL,0.74,2.21,-0.07,-0.84,-1.71,-1.14,-0.7,72,91,63,33,9,31,29
J. Schouten,PSV,MEIO-CAMPO,HOL,1.18,-0.08,-0.1,-1.4,-1.06,-0.7,-0.06,85,49,62,14,27,45,58
G. Roemeratoe,RKC Waalwijk,MEIO-CAMPO,HOL,-0.52,0.61,-1.15,-1.73,-2.28,-2.51,-0.46,38,65,28,6,3,3,42
L. Bernadou,Emmen,MEIO-CAMPO,HOL,1.28,0.77,-0.8,0.56,-0.92,-1.1,-0.07,86,72,36,71,31,36,56
L. Rosier,Fortuna Sittard,MEIO-CAMPO,HOL,1.3,2.66,-0.6,-1.44,-1.27,-1.07,-1.13,88,95,44,12,22,38,6
D. Erdoğan,Göztepe,MEIO-CAMPO,HOL,-0.25,1.0,-0.18,-0.61,-2.45,-2.55,-0.14,50,79,54,45,1,1,55
K. Bistrović,Fortuna Sittard,MEIO-CAMPO,HOL,-1.51,-1.58,-0.51,0.52,-0.91,-1.12,0.46,13,18,46,69,33,33,77
D. van den Berg,PEC Zwolle,MEIO-CAMPO,HOL,0.75,1.92,-0.45,0.67,-0.63,0.62,0.74,73,90,47,73,42,72,82
J. Hove,Groningen,MEIO-CAMPO,HOL,-0.95,0.36,0.75,0.57,0.58,-0.29,-0.5,26,56,74,72,77,58,41
M. Kjølø,Twente,MEIO-CAMPO,HOL,-0.23,-0.68,0.52,-0.42,-1.48,-2.23,-0.67,51,33,69,49,12,6,31
E. Linthorst,Go Ahead Eagles,MEIO-CAMPO,HOL,-0.57,0.25,0.24,-0.43,-1.28,-1.46,-1.23,35,54,67,47,21,18,4
I. Sangaré,Nottingham Forest,MEIO-CAMPO,HOL,1.78,1.0,2.74,0.89,-0.17,-0.26,1.17,94,81,94,79,60,59,86
K. Veendorp,Bengaluru,MEIO-CAMPO,HOL,0.68,0.54,1.67,-1.12,-0.8,-2.44,-0.95,71,62,86,23,37,4,10
O. Kökçü,Benfica,MEIO-CAMPO,HOL,1.71,-1.35,4.7,4.51,2.03,-0.6,0.35,92,24,99,99,90,49,73
E. Álvarez,West Ham United,MEIO-CAMPO,HOL,4.31,2.4,2.39,-0.75,-0.31,0.83,-0.42,100,94,91,38,56,77,45
M. Hoedemakers,NEC,MEIO-CAMPO,HOL,0.27,0.87,-0.65,-0.93,-1.96,-1.53,-0.31,60,76,42,31,4,17,49
Q. Timber,Feyenoord,MEIO-CAMPO,HOL,0.54,0.83,0.42,0.45,4.4,2.43,2.75,68,73,68,65,96,88,99
V. Anita,Al Orubah,MEIO-CAMPO,HOL,-1.82,-2.19,0.88,-1.02,-1.35,-1.8,-1.18,4,6,78,27,14,10,5
L. Brouwers,Heerenveen,MEIO-CAMPO,HOL,-1.38,-0.57,-1.69,-1.14,-0.7,-0.11,-0.86,17,38,13,22,40,62,17
T. Reijnders,Milan,MEIO-CAMPO,HOL,0.75,-0.58,2.13,1.7,2.29,-0.68,1.03,74,37,90,90,94,46,85
J. de Guzmán,Sparta Rotterdam,MEIO-CAMPO,HOL,0.99,0.95,0.13,0.73,-0.36,-1.08,-0.74,79,78,65,74,54,37,27
Deroy Duarte,Fortuna Sittard,MEIO-CAMPO,HOL,-0.3,1.39,-1.69,-1.9,-1.95,-1.54,-0.87,47,87,14,5,5,15,15
M. Sadílek,Twente,MEIO-CAMPO,HOL,0.91,0.09,0.8,1.74,0.24,-0.43,-0.96,77,53,76,91,68,54,9
J. Toornstra,Utrecht,MEIO-CAMPO,HOL,-1.62,-1.67,1.02,-0.04,0.56,-1.27,-0.71,10,15,82,59,76,27,28
A. Tahiri,Heerenveen,MEIO-CAMPO,HOL,-0.16,-1.45,1.57,1.13,-0.04,-1.87,-0.82,53,23,85,86,63,9,21
C. Bozdogan,Utrecht,MEIO-CAMPO,HOL,1.0,1.06,-0.85,-0.87,-0.37,-1.4,1.19,81,83,33,32,53,21,87
R. Zerrouki,Feyenoord,MEIO-CAMPO,HOL,2.54,0.88,1.69,0.8,-0.19,-1.13,-0.06,96,77,87,76,59,32,62
L. Schöne,NEC,MEIO-CAMPO,HOL,-0.45,-0.59,0.04,-0.98,-1.08,-2.39,-0.83,41,36,64,28,24,5,19
Y. Oukili,RKC Waalwijk,MEIO-CAMPO,HOL,0.3,0.74,-1.48,-0.66,-1.07,0.77,0.22,62,71,17,44,26,76,68
D. Mirani,Volendam,MEIO-CAMPO,HOL,-0.25,1.88,-0.71,-1.93,-1.9,-0.66,-1.25,49,88,41,3,6,47,3
J. Veerman,PSV,MEIO-CAMPO,HOL,2.16,0.63,7.12,5.04,5.35,0.09,0.28,95,67,100,100,97,65,71
J. Clasie,AZ,MEIO-CAMPO,HOL,1.28,-0.14,3.87,-0.39,-0.45,-1.22,-0.88,87,47,96,51,47,28,14
M. Wieffer,Feyenoord,MEIO-CAMPO,HOL,4.2,3.88,0.6,0.06,0.07,-0.54,0.26,99,100,72,62,64,50,69
D. Proper,NEC,MEIO-CAMPO,HOL,0.35,1.03,-0.56,-1.62,-1.01,-0.97,-0.37,63,82,45,9,28,42,46
M. Meulensteen,Vitesse,MEIO-CAMPO,HOL,0.03,0.38,0.81,-0.59,-1.18,-1.61,-0.06,55,58,77,46,23,13,59
T. Haye,Heerenveen,MEIO-CAMPO,HOL,1.41,0.43,2.47,1.26,0.11,-1.16,-0.06,91,59,92,87,65,29,60
J. Kitolano,Sparta Rotterdam,MEIO-CAMPO,HOL,-1.48,-0.6,-1.75,-1.64,-1.33,0.34,-0.18,14,35,12,8,15,69,54
E. Llansana,Go Ahead Eagles,MEIO-CAMPO,HOL,2.57,3.87,0.55,-0.73,-0.6,-0.11,0.19,97,99,71,40,44,63,67
C. Sandra,Excelsior,MEIO-CAMPO,HOL,-1.65,-1.66,-1.37,-0.8,-0.97,-0.25,-0.63,8,17,18,36,29,60,36
S. Resink,Almere City,MEIO-CAMPO,HOL,1.04,2.34,-0.81,-0.34,-1.5,-1.72,0.49,82,92,35,54,10,12,78
A. El Messaoudi,Emmen,MEIO-CAMPO,HOL,0.22,-0.43,-1.32,-0.67,-1.29,-0.38,1.68,59,42,21,41,19,55,91
N. Foor,Cambuur,MEIO-CAMPO,HOL,-1.26,-1.5,-0.44,2.7,0.29,0.67,2.46,19,21,49,95,71,73,96
B. De Keersmaecker,Heracles,MEIO-CAMPO,HOL,0.39,2.7,-0.78,-1.57,-0.83,-1.59,-0.64,65,96,38,10,36,14,33
Z. Buurmeester,PEC Zwolle,MEIO-CAMPO,HOL,-0.35,0.57,-0.93,-1.21,-0.64,-1.06,-0.75,44,63,32,15,41,41,24
T. Suslov,Hellas Verona,MEIO-CAMPO,HOL,0.63,0.65,-0.71,0.98,-0.34,-1.28,2.99,69,69,40,81,55,24,100
D. Klaassen,Internazionale,MEIO-CAMPO,HOL,-1.57,-1.69,-1.24,-1.21,1.79,4.13,-0.8,12,13,22,17,88,97,22
D. van Kaam,Cambuur,MEIO-CAMPO,HOL,-2.06,-2.4,-1.33,1.1,-0.92,-1.45,0.37,3,5,19,85,32,19,76
S. Berghuis,Ajax,MEIO-CAMPO,HOL,0.89,-1.53,3.94,3.6,7.37,1.86,1.71,76,19,97,96,100,83,92
C. Eiting,Twente,MEIO-CAMPO,HOL,-1.1,0.83,-0.29,-0.4,2.1,-1.34,-0.22,22,74,51,50,91,22,53
P. Clement,Sparta Rotterdam,MEIO-CAMPO,HOL,-0.61,-0.35,-1.17,-0.03,0.33,-1.33,0.07,33,45,27,60,72,23,65
P. Rommens,Go Ahead Eagles,MEIO-CAMPO,HOL,0.21,-0.35,0.63,1.03,0.54,-0.71,-0.91,58,46,73,82,74,44,12
J. Baas,Excelsior,MEIO-CAMPO,HOL,-1.02,0.51,-1.75,-1.19,-0.47,-1.27,-0.89,24,60,10,18,46,26,13
C. Twigt,Volendam,MEIO-CAMPO,HOL,-0.64,1.23,-1.23,-0.82,-1.29,-1.06,-0.63,32,85,23,35,17,40,37
P. Koopmeiners,Almere City,MEIO-CAMPO,HOL,1.3,2.95,-0.1,-0.29,-0.85,-2.19,-0.59,90,97,60,56,35,8,38
K. Taylor,Ajax,MEIO-CAMPO,HOL,0.96,-0.36,1.31,0.85,1.59,0.1,-0.78,78,44,83,77,87,67,23
L. Thy,PEC Zwolle,MEIO-CAMPO,HOL,-2.94,-2.53,-2.67,-0.67,0.11,3.96,-1.38,1,3,3,42,67,96,1
A. Ouahim,Heracles,MEIO-CAMPO,HOL,1.09,1.36,-1.62,-1.43,-1.29,0.07,0.57,83,86,15,13,18,64,79
O. Tannane,Umm Salal,MEIO-CAMPO,HOL,0.51,-1.72,3.59,2.46,2.45,1.59,2.47,67,12,95,92,95,79,97
C. Stengs,Feyenoord,MEIO-CAMPO,HOL,-0.8,-1.93,0.94,1.34,5.49,2.25,0.86,29,10,81,88,99,87,83
S. Szymański,Fenerbahçe,MEIO-CAMPO,HOL,-0.87,-0.8,-0.16,1.06,1.26,3.33,0.32,27,31,55,83,85,94,72
M. de Haan,Volendam II,MEIO-CAMPO,HOL,-1.75,-0.96,-1.95,-2.03,-1.82,0.49,-0.64,5,29,5,1,8,71,35
V. Jensen,Utrecht,MEIO-CAMPO,HOL,-0.56,-1.47,-2.73,-1.19,-1.45,2.09,-0.01,36,22,1,19,13,86,64
A. Halilović,Fortuna Sittard,MEIO-CAMPO,HOL,-1.62,-2.5,-0.12,4.13,0.5,0.26,1.74,9,4,59,97,73,68,94
D. de Wit,AZ,MEIO-CAMPO,HOL,-0.73,0.6,-2.43,-1.91,-0.49,3.94,-0.99,31,64,4,4,45,95,8
O. Özyakup,Fortuna Sittard,MEIO-CAMPO,HOL,-1.09,-1.31,-0.79,0.89,-0.42,-0.49,-0.32,23,26,37,78,50,51,47
M. Bero,Bochum,MEIO-CAMPO,HOL,-0.09,-0.44,1.74,0.49,-0.09,0.89,-0.05,54,41,88,68,62,78,63
M. Diemers,AEK Larnaca ,MEIO-CAMPO,HOL,-0.5,-2.53,0.94,2.6,0.78,-1.1,1.83,40,1,79,94,82,35,95
K. Goudmijn,AZ,MEIO-CAMPO,HOL,0.05,-0.47,-0.4,0.47,-0.23,-0.38,1.59,56,40,50,67,58,56,88
S. van de Streek,Antalyaspor,MEIO-CAMPO,HOL,-0.32,-0.08,-1.9,-1.14,-0.37,1.79,-0.56,46,50,6,21,51,82,40
S. Steijn,Twente,MEIO-CAMPO,HOL,-1.12,-1.18,-1.14,-0.37,1.16,5.83,-0.67,21,27,29,53,83,99,32
G. Til,PSV,MEIO-CAMPO,HOL,-1.34,-1.69,-1.77,-0.98,1.53,5.98,-0.29,18,14,9,29,86,100,50
M. van Ginkel,Vitesse,MEIO-CAMPO,HOL,-1.68,-2.05,-1.22,-1.05,-0.72,1.93,-0.83,6,9,24,26,38,85,18
M. Mattsson,NEC,MEIO-CAMPO,HOL,-0.36,-0.71,-1.88,-1.07,0.62,3.01,1.65,42,32,8,24,81,92,90
M. Vlap,Twente,MEIO-CAMPO,HOL,-0.33,-1.17,-0.28,0.2,2.21,2.81,0.69,45,28,53,63,92,91,81
S. Mijnans,AZ,MEIO-CAMPO,HOL,0.37,0.64,-0.13,-0.34,0.28,0.74,-0.74,64,68,58,55,69,74,26
W. Willumsson,Go Ahead Eagles,MEIO-CAMPO,HOL,-1.47,-2.08,-0.97,-0.79,0.59,2.53,0.36,15,8,31,37,78,90,74
A. Verschueren,Sparta Rotterdam,MEIO-CAMPO,HOL,-0.56,0.3,-1.21,0.29,0.6,1.69,-0.43,37,55,26,64,79,81,44
I. Bennacer,Milan,MEIO-CAMPO,ITA1,2.28,2.09,0.95,0.9,0.33,-0.53,0.93,96,93,73,79,64,48,86
Arthur,Fiorentina,MEIO-CAMPO,ITA1,2.01,0.55,-0.04,0.93,-0.8,-2.22,-0.82,92,61,54,81,37,3,13
K. Thorstvedt,Sassuolo,MEIO-CAMPO,ITA1,0.22,0.83,-1.07,-0.82,-1.13,4.16,0.03,59,72,28,33,27,96,64
S. Esposito,Spezia,MEIO-CAMPO,ITA1,-0.06,-0.29,1.45,-0.01,-1.25,-0.93,-0.35,48,42,81,54,24,37,46
D. Boloca,Sassuolo,MEIO-CAMPO,ITA1,-0.41,-0.44,-1.32,-1.07,-2.25,-0.94,-0.1,37,39,21,25,4,36,58
M. Brozović,Al Nassr,MEIO-CAMPO,ITA1,2.19,0.23,2.43,1.9,4.35,-0.24,-0.82,95,51,95,92,98,56,12
Y. Ramadani,Lecce,MEIO-CAMPO,ITA1,0.01,1.48,-0.51,-0.86,-2.25,-1.93,-0.63,52,83,46,31,3,12,27
S. Amrabat,Manchester United,MEIO-CAMPO,ITA1,2.47,0.31,1.49,1.82,-0.17,-2.1,-1.11,98,53,82,91,56,7,3
M. Vecino,Lazio,MEIO-CAMPO,ITA1,0.93,1.33,0.11,-0.87,-2.03,1.97,-1.3,75,81,55,30,9,83,1
E. Barrenechea,Frosinone,MEIO-CAMPO,ITA1,1.81,2.92,-0.37,-1.37,-2.28,-1.98,-0.86,90,98,47,12,2,9,9
A. Ekdal,Spezia,MEIO-CAMPO,ITA1,0.2,1.3,-0.8,-1.07,-1.11,-0.35,-0.51,58,80,39,25,28,54,34
M. Frendrup,Genoa,MEIO-CAMPO,ITA1,0.57,2.69,-2.3,-1.82,1.81,-1.5,-0.62,69,96,8,4,86,24,28
N. Moro,Bologna,MEIO-CAMPO,ITA1,1.64,0.67,2.1,0.93,2.03,-0.71,-0.04,84,65,90,82,87,45,62
M. López,Fiorentina,MEIO-CAMPO,ITA1,0.26,-2.16,1.9,1.57,-0.93,-1.7,-0.68,61,10,88,86,35,19,25
L. Paredes,Roma,MEIO-CAMPO,ITA1,0.89,0.38,3.24,0.07,1.35,-1.68,-0.7,75,56,97,57,80,21,21
R. Mandragora,Fiorentina,MEIO-CAMPO,ITA1,-0.92,-1.01,-0.23,0.01,0.57,0.03,-0.91,26,26,50,55,70,63,7
A. Duncan,Fiorentina,MEIO-CAMPO,ITA1,-0.28,-0.54,0.47,1.51,1.37,-0.42,0.04,39,36,64,85,81,51,65
A. Grassi,Empoli,MEIO-CAMPO,ITA1,-0.98,1.22,-0.52,-1.36,-1.23,-1.6,-0.85,24,79,45,13,25,22,11
D. Cataldi,Lazio,MEIO-CAMPO,ITA1,-0.43,-0.79,1.99,-0.4,-0.93,-2.34,-0.78,36,31,89,43,34,1,16
J. Schouten,PSV,MEIO-CAMPO,ITA1,2.14,2.04,0.4,-0.32,-0.39,-1.94,-0.4,94,90,62,47,46,11,44
S. Meïté,PAOK,MEIO-CAMPO,ITA1,0.01,0.44,-1.29,-1.26,-0.31,-2.11,0.17,53,58,22,17,50,6,70
S. Tonali,Newcastle United,MEIO-CAMPO,ITA1,0.36,0.04,1.74,0.61,2.19,-1.05,-0.69,64,48,87,73,90,32,23
M. Hjulmand,Sporting CP,MEIO-CAMPO,ITA1,0.48,2.02,0.95,0.27,-0.19,-2.31,-0.48,67,89,74,66,55,2,37
R. Krunić,Milan,MEIO-CAMPO,ITA1,1.18,0.88,-0.86,-1.35,-1.99,-1.7,-0.76,79,74,37,14,10,20,18
M. Aebischer,Bologna,MEIO-CAMPO,ITA1,0.25,-0.95,-0.59,-0.52,-1.05,-1.42,-0.79,60,28,43,40,30,25,15
R. Marin,Empoli,MEIO-CAMPO,ITA1,-0.49,-1.2,1.55,0.92,1.66,-1.0,-0.32,35,25,83,80,84,34,48
H. Çalhanoğlu,Internazionale,MEIO-CAMPO,ITA1,1.92,0.4,2.55,2.81,1.81,1.53,-0.48,91,57,96,96,85,79,39
M. Locatelli,Juventus,MEIO-CAMPO,ITA1,0.35,1.56,1.25,0.15,-0.21,-1.35,-0.66,62,85,78,61,54,27,25
S. Lobotka,Napoli,MEIO-CAMPO,ITA1,2.11,0.25,0.41,-0.3,-1.43,-2.15,-0.4,93,52,63,48,20,4,45
Walace,Udinese,MEIO-CAMPO,ITA1,-0.54,0.14,0.13,-0.82,-1.69,-1.75,-0.69,32,50,56,32,15,18,24
G. Maggiore,Salernitana,MEIO-CAMPO,ITA1,-0.26,0.65,-1.38,-2.09,-1.97,-1.09,-0.62,42,64,19,2,11,31,30
L. Mazzitelli,Frosinone,MEIO-CAMPO,ITA1,1.37,1.51,1.33,-0.36,-1.69,0.74,-0.54,81,84,79,44,16,73,33
M. Benassi,Cremonese,MEIO-CAMPO,ITA1,-2.23,-0.36,-1.66,-1.06,-1.72,-0.37,-0.73,5,40,15,27,14,52,20
F. Miretti,Juventus,MEIO-CAMPO,ITA1,0.12,0.36,0.54,0.52,0.79,0.54,1.18,55,54,68,71,73,71,91
M. Castagnetti,Cremonese,MEIO-CAMPO,ITA1,0.79,0.75,1.68,1.57,0.89,-1.85,-0.49,72,66,85,87,75,15,36
N. Matić,Rennes,MEIO-CAMPO,ITA1,0.53,-0.09,0.9,0.35,0.35,-0.66,0.5,68,46,72,68,65,47,80
I. Sulemana,Cagliari,MEIO-CAMPO,ITA1,-2.06,0.52,-1.8,-1.94,-2.48,-1.97,-0.7,7,60,12,3,1,10,22
K. Agudelo,Al Nasr,MEIO-CAMPO,ITA1,0.96,0.86,0.73,0.76,0.62,-0.47,3.74,76,73,69,77,71,50,99
J. Akpa Akpro,Monza,MEIO-CAMPO,ITA1,0.8,3.4,-2.04,-1.45,-0.23,-0.08,0.97,74,99,9,9,53,59,87
T. Reijnders,Milan,MEIO-CAMPO,ITA1,-1.34,-2.13,-0.12,0.19,1.13,0.88,0.37,22,12,52,63,77,75,77
José Machin,Monza,MEIO-CAMPO,ITA1,0.67,0.37,2.18,0.67,1.0,-1.8,-0.27,70,55,93,76,76,16,51
F. Bandinelli,Spezia,MEIO-CAMPO,ITA1,0.39,-0.05,2.16,3.32,-0.34,-1.34,-0.65,65,47,91,99,47,28,26
A. Makoumbou,Cagliari,MEIO-CAMPO,ITA1,-0.93,-1.4,-1.17,-1.06,-1.59,-1.15,-0.29,25,21,24,26,18,29,50
M. Folorunsho,Hellas Verona,MEIO-CAMPO,ITA1,-0.21,1.19,-2.67,-1.38,-2.05,-0.82,0.14,44,77,2,11,8,42,69
E. Bohinen,Salernitana,MEIO-CAMPO,ITA1,0.67,2.35,-0.8,-1.47,-1.32,-1.76,-0.07,71,95,38,8,23,17,60
T. Vilhena,Panathinaikos,MEIO-CAMPO,ITA1,-1.53,-0.8,-1.49,-0.91,-1.86,-0.06,-0.78,18,30,17,29,12,61,17
J. Fazzini,Empoli,MEIO-CAMPO,ITA1,1.58,3.43,-2.33,-1.1,-0.24,-0.11,1.57,83,100,7,24,52,58,95
N. Domínguez,Nottingham Forest,MEIO-CAMPO,ITA1,2.7,2.07,1.61,0.22,-0.74,0.48,-0.4,100,92,84,64,38,70,44
T. Rincón,Santos,MEIO-CAMPO,ITA1,-0.02,0.61,-0.73,-0.81,-2.22,-2.14,-0.48,50,62,41,34,5,5,38
C. Pickel,Cremonese,MEIO-CAMPO,ITA1,-0.27,1.59,-1.84,-1.48,-1.73,-1.4,-0.94,41,86,10,7,13,25,5
W. McKennie,Juventus,MEIO-CAMPO,ITA1,-0.08,1.34,-2.34,-1.1,-1.05,-1.01,0.92,46,82,6,23,29,33,84
N. Rovella,Lazio,MEIO-CAMPO,ITA1,2.5,2.26,-0.21,-0.77,-0.61,-1.11,-0.51,99,94,51,35,42,30,35
R. Oudin,Lecce,MEIO-CAMPO,ITA1,-2.47,-2.15,-1.08,1.21,-0.44,2.41,-0.1,2,11,27,83,45,90,57
N. Fagioli,Juventus,MEIO-CAMPO,ITA1,-0.52,-0.51,0.29,-0.07,2.09,-0.68,-0.46,33,37,59,53,88,46,40
K. Linetty,Torino,MEIO-CAMPO,ITA1,0.35,0.81,-1.13,-1.51,-2.1,-1.88,-0.41,63,70,25,6,6,14,42
Joan Gonzàlez,Lecce,MEIO-CAMPO,ITA1,-0.26,0.52,-1.8,-1.38,-2.08,-0.81,0.29,43,59,11,10,7,43,72
Y. Maleh,Empoli,MEIO-CAMPO,ITA1,0.0,2.01,-1.16,-0.62,-0.5,-1.53,-0.79,51,88,25,38,44,23,14
H. Winks,Leicester City,MEIO-CAMPO,ITA1,-0.57,-0.6,1.69,-0.18,-1.47,-2.07,-0.62,31,34,86,51,19,8,29
E. Bove,Roma,MEIO-CAMPO,ITA1,1.76,2.85,-1.33,-1.27,-0.65,-0.37,-0.04,88,97,20,16,39,53,61
R. Gagliardini,Monza,MEIO-CAMPO,ITA1,0.79,0.75,0.34,0.27,-0.62,-0.02,-0.85,73,67,61,67,40,62,10
S. Milinković-Savić,Al Hilal,MEIO-CAMPO,ITA1,1.76,0.81,0.53,0.05,-0.54,3.02,0.38,89,69,67,56,43,92,78
M. Bourabia,Frosinone,MEIO-CAMPO,ITA1,-1.54,-0.57,-0.96,-0.1,0.25,-0.76,-0.27,17,35,32,52,63,44,52
D. Frattesi,Internazionale,MEIO-CAMPO,ITA1,-0.71,0.06,-1.69,-1.2,-1.21,3.49,1.1,29,49,14,21,25,94,89
O. Duda,Hellas Verona,MEIO-CAMPO,ITA1,-0.76,0.95,-0.78,-1.25,-1.14,-0.94,-0.15,27,75,40,18,26,35,55
A. Blin,Lecce,MEIO-CAMPO,ITA1,-0.05,2.06,-1.04,-1.03,-1.36,-0.52,-1.02,49,91,30,28,22,49,4
R. Pereyra,Udinese,MEIO-CAMPO,ITA1,-1.21,-1.84,-0.89,1.64,1.5,2.3,0.64,23,16,35,89,82,87,82
S. Ricci,Torino,MEIO-CAMPO,ITA1,-0.07,-0.47,0.31,0.1,-0.87,-0.83,0.29,47,38,60,58,36,41,73
I. Ilić,Torino,MEIO-CAMPO,ITA1,-0.61,-1.65,0.87,0.66,0.97,-0.89,-0.75,30,18,70,75,75,39,19
S. Lovrič,Udinese,MEIO-CAMPO,ITA1,-1.74,-1.47,-1.07,0.8,1.17,0.82,-0.09,11,19,29,78,79,74,59
Matheus Henrique,Sassuolo,MEIO-CAMPO,ITA1,-2.03,-2.67,-1.12,-1.23,-0.26,1.43,0.3,9,6,26,19,51,78,74
L. Samardžić,Udinese,MEIO-CAMPO,ITA1,-0.93,-1.35,1.19,-0.23,0.46,0.46,1.59,25,22,75,49,66,69,96
H. Mkhitaryan,Internazionale,MEIO-CAMPO,ITA1,0.46,-0.09,0.48,1.21,1.16,0.96,-0.23,66,45,65,84,78,75,54
N. Barella,Internazionale,MEIO-CAMPO,ITA1,1.17,-1.13,4.39,3.21,2.43,0.07,0.04,78,25,99,98,92,65,66
P. Zieliński,Napoli,MEIO-CAMPO,ITA1,-0.27,-2.42,2.38,2.71,4.09,0.25,-0.03,40,8,94,95,97,66,63
L. Coulibaly,Salernitana,MEIO-CAMPO,ITA1,0.18,1.12,-1.46,-1.61,-1.03,-1.35,0.55,57,76,18,5,32,26,81
Éderson,Atalanta,MEIO-CAMPO,ITA1,1.68,1.85,0.52,0.61,-0.31,0.41,0.22,85,87,66,74,49,68,71
A. Tamèze,Torino,MEIO-CAMPO,ITA1,-0.76,0.81,-1.02,-1.2,-1.04,-1.89,-0.46,28,71,31,20,31,13,41
F. Anguissa,Napoli,MEIO-CAMPO,ITA1,2.29,-0.1,-0.24,-0.32,-0.62,-0.18,-0.23,97,44,49,46,41,57,53
Luis Alberto,Lazio,MEIO-CAMPO,ITA1,1.42,-1.26,5.46,2.49,4.55,1.67,-0.31,82,24,100,93,99,80,49
B. Cristante,Roma,MEIO-CAMPO,ITA1,1.33,1.1,1.17,-0.76,-0.32,-0.28,-0.92,80,75,75,36,48,55,6
A. Rabiot,Juventus,MEIO-CAMPO,ITA1,-0.16,0.78,-0.88,-0.21,0.77,2.74,0.05,45,68,36,50,72,91,68
M. de Roon,Atalanta,MEIO-CAMPO,ITA1,1.74,1.21,1.2,0.24,0.47,-0.89,-1.11,87,78,76,65,68,38,2
M. Pessina,Monza,MEIO-CAMPO,ITA1,1.7,0.61,1.34,0.52,0.15,-0.06,-0.35,86,63,80,70,62,60,47
E. Botheim,Salernitana,MEIO-CAMPO,ITA1,-3.52,-3.22,-2.85,-2.19,0.53,-0.83,-0.89,1,2,1,1,69,40,8
N. Radonjić,Torino,MEIO-CAMPO,ITA1,-2.02,-2.83,-2.37,1.6,0.03,4.25,5.53,10,5,5,88,59,97,100
F. Duricic,Panathinaikos,MEIO-CAMPO,ITA1,-1.61,-0.95,-2.41,-1.32,-1.68,0.03,0.05,12,29,4,15,17,64,67
