Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Apoio,Ataque,Último passe,Drible,Participação_percentil,Defesa_percentil,Apoio_percentil,Ataque_percentil,ùltimo_passe_percentil,Drible_percentil
Zakaria Al Hawsawi,Al Ittihad,LATERAL,SAUD,1.42,2.22,0.11,-2.07,-2.07,0.75,83.0,94.0,56.0,5.0,12.0,80.0
Nawaf Al Qamiri,Al Ta'ee,LATERAL,SAUD,-0.01,2.04,-1.65,-1.76,-0.72,-0.39,55.0,92.0,11.0,11.0,39.0,42.0
Abdulmalik Al Oyayari,Al Taawon,LATERAL,SAUD,2.24,2.0,-0.02,0.09,0.95,-0.83,97.0,91.0,50.0,53.0,77.0,22.0
Nasser Al Dawsari,Al Hilal,LATERAL,SAUD,1.67,-1.67,1.14,3.55,4.09,-0.1,91.0,12.0,83.0,98.0,98.0,53.0
Abdullah Al Hawsawi,Dhamk,LATERAL,SAUD,-0.97,-1.39,-0.51,-0.89,-1.02,1.57,25.0,17.0,44.0,33.0,30.0,94.0
Abdulrahman Al Safari,Al Feiha,LATERAL,SAUD,1.53,1.25,0.01,0.11,1.15,-0.63,88.0,77.0,52.0,55.0,81.0,31.0
Mohammed Al Kunaydiri,Abha,LATERAL,SAUD,-0.1,0.51,-0.99,-0.45,-1.03,0.07,48.0,62.0,22.0,48.0,27.0,64.0
Hamad Al-Jayzani,Al Raed,LATERAL,SAUD,-1.37,0.64,-0.56,0.11,-0.88,-0.72,12.0,67.0,42.0,56.0,34.0,28.0
Mohammed Al Ghamdi,Al Taawon,LATERAL,SAUD,0.35,1.81,0.16,1.02,1.66,-0.66,62.0,86.0,58.0,75.0,89.0,30.0
Yasir Al Shahrani,Al Hilal,LATERAL,SAUD,0.74,-1.97,0.38,0.94,0.98,-0.95,72.0,9.0,64.0,73.0,78.0,16.0
Pedro Amaral,Lamia,LATERAL,SAUD,-0.83,-0.18,0.65,0.4,0.8,0.63,30.0,52.0,72.0,61.0,73.0,75.0
H. Al Zbadeen,Al Akhdoud,LATERAL,SAUD,-0.06,2.98,-1.95,-1.24,-0.53,-0.5,50.0,100.0,5.0,20.0,45.0,34.0
Dhari Al Anazi,Dhamk,LATERAL,SAUD,0.39,-0.02,0.48,0.5,-0.74,0.57,66.0,55.0,66.0,64.0,38.0,73.0
Amiri Kurdi,Al Riyadh,LATERAL,SAUD,-0.32,-1.03,-0.65,-1.4,-1.02,-0.25,44.0,27.0,36.0,17.0,28.0,45.0
Abdulaziz  Al-Juman,Al Faisaly,LATERAL,SAUD,-2.65,-2.31,0.34,0.89,0.24,1.04,3.0,6.0,62.0,70.0,61.0,88.0
Muath Faqeehi,Al Taawon,LATERAL,SAUD,0.69,0.56,-0.98,0.68,-1.51,0.24,70.0,64.0,23.0,66.0,16.0,70.0
Saleh Al-Qumayzi,Abha,LATERAL,SAUD,-2.7,-1.49,-1.65,-1.16,-1.2,-1.09,2.0,16.0,9.0,22.0,22.0,9.0
Pedro Rebocho,Al Khaleej,LATERAL,SAUD,-0.04,-0.86,1.68,0.48,-0.09,0.76,53.0,34.0,91.0,62.0,55.0,81.0
C. Fai,Al Ta'ee,LATERAL,SAUD,0.87,-1.03,2.88,4.22,4.02,0.74,73.0,28.0,98.0,100.0,97.0,78.0
Saeed Al-Hamsl,Al Khaleej,LATERAL,SAUD,0.46,2.69,-0.5,-1.77,-2.47,-0.49,67.0,98.0,45.0,9.0,5.0,36.0
Mohammed Al Burayk,Al Hilal,LATERAL,SAUD,3.88,-0.37,1.21,3.26,3.54,0.14,100.0,44.0,84.0,97.0,95.0,67.0
O. Al Oudah,Al Khaleej,LATERAL,SAUD,-0.82,0.33,-0.96,-1.09,-1.25,-0.22,31.0,58.0,25.0,25.0,19.0,47.0
Mohammed Al Oufi,Abha,LATERAL,SAUD,-0.4,0.61,0.98,0.85,0.57,0.91,41.0,66.0,77.0,67.0,67.0,86.0
Ali Al Zubaidi,Al Fateh,LATERAL,SAUD,-0.01,-2.44,1.52,1.06,-0.59,-0.47,56.0,3.0,88.0,80.0,41.0,39.0
Muhannad Al Shanqiti,Al Ittihad,LATERAL,SAUD,1.45,-0.84,0.98,-0.44,2.56,0.81,86.0,36.0,78.0,50.0,92.0,83.0
Saad Balobaid,Al Ahli,LATERAL,SAUD,1.06,2.56,-0.96,-0.76,0.74,-0.35,78.0,95.0,27.0,38.0,70.0,44.0
Bandar Nasser,Al Khaleej,LATERAL,SAUD,-0.81,-0.08,-1.18,-0.95,-0.13,-0.82,33.0,53.0,16.0,31.0,53.0,23.0
Abdullah Al Yousef,Al Raed,LATERAL,SAUD,-1.64,1.34,-0.78,-0.74,-0.92,-1.14,11.0,81.0,31.0,41.0,33.0,8.0
Moteb Al Harbi,Al Shabab,LATERAL,SAUD,-0.19,-1.27,2.59,1.45,1.49,-0.21,47.0,20.0,97.0,86.0,86.0,48.0
Tawfiq Buhumaid,Al Fateh,LATERAL,SAUD,1.88,0.49,0.76,1.03,-0.15,0.69,94.0,61.0,75.0,77.0,52.0,77.0
Ahmed Bamsaud,Al Ittihad,LATERAL,SAUD,0.61,-0.26,0.29,0.21,1.04,1.39,69.0,48.0,61.0,58.0,80.0,91.0
M. Al Olayan,Al Ittihad,LATERAL,SAUD,2.01,-0.69,1.62,2.05,0.42,-0.74,95.0,38.0,89.0,94.0,64.0,27.0
F. Al-Jumaiya,Abha,LATERAL,SAUD,0.94,1.04,-1.76,-1.09,-1.33,-0.03,77.0,72.0,6.0,23.0,17.0,58.0
Ibrahim Al Nakhli,Al Ta'ee,LATERAL,SAUD,-1.15,1.24,-1.19,-1.38,-2.08,-1.0,19.0,75.0,14.0,19.0,11.0,12.0
Hawsawi Islam Ahmed,Al Wehda,LATERAL,SAUD,-1.25,0.64,-0.57,-1.47,-2.43,-0.01,17.0,69.0,39.0,14.0,8.0,59.0
Abdullah Khateeb,Al Ettifaq,LATERAL,SAUD,-0.41,-0.87,-0.69,-1.72,-2.17,-0.42,39.0,33.0,34.0,12.0,9.0,41.0
Sanousi Al Hawsawi,Dhamk,LATERAL,SAUD,-0.27,0.94,-1.05,-1.98,-1.08,-0.04,45.0,70.0,19.0,6.0,25.0,55.0
M. Dawsari,Al Raed,LATERAL,SAUD,0.23,1.1,1.11,-0.6,0.5,1.44,61.0,73.0,81.0,44.0,66.0,92.0
Awdh Al-Faraj,Al Akhdoud,LATERAL,SAUD,-2.06,-0.47,0.1,-0.86,-0.47,0.1,6.0,41.0,55.0,34.0,47.0,66.0
Abdullah Al Ammar,Al Ahli,LATERAL,SAUD,-0.48,-2.31,0.23,1.18,0.76,-0.18,36.0,5.0,59.0,83.0,72.0,50.0
M. Al Hurayji,Al Ahli,LATERAL,SAUD,-0.05,1.3,-0.61,-0.69,-0.92,0.02,52.0,80.0,38.0,42.0,31.0,62.0
Hussain Qassem,Al Ta'ee,LATERAL,SAUD,0.36,-0.33,-0.17,-0.75,-0.53,-0.84,64.0,47.0,48.0,39.0,44.0,20.0
Saud Abdulhamid,Al Hilal,LATERAL,SAUD,1.11,-2.23,1.76,2.78,4.53,-0.04,80.0,8.0,94.0,95.0,100.0,56.0
Saeed Al Mowallad,Al Wehda,LATERAL,SAUD,-1.98,-1.09,-0.42,1.48,1.3,-0.74,8.0,25.0,47.0,89.0,84.0,25.0
Sultan Al Ghannam,Al Nassr,LATERAL,SAUD,0.17,-0.98,0.56,1.05,3.07,0.01,59.0,30.0,70.0,78.0,94.0,61.0
G. Konan,Al Feiha,LATERAL,SAUD,1.62,-1.37,2.99,1.71,0.9,1.66,89.0,19.0,100.0,92.0,75.0,95.0
Fawaz Al Saqour,Al Shabab,LATERAL,SAUD,-2.25,-3.77,-2.22,-0.51,1.78,-1.25,5.0,2.0,3.0,45.0,91.0,6.0
G. Lončar,Kolubara,LATERAL,SER,-0.56,1.14,-2.08,-2.85,-2.39,-1.1,36.0,77.0,2.0,2.0,4.0,8.0
B. Varga,RFK Novi Sad,LATERAL,SER,0.36,0.19,-1.19,-2.6,-2.07,-1.24,57.0,58.0,11.0,4.0,8.0,4.0
U. Stojanović,Urartu,LATERAL,SER,0.33,3.0,-1.57,-1.89,-0.4,0.04,55.0,96.0,6.0,9.0,45.0,64.0
A. Radovanović,Radnički Kragujevac,LATERAL,SER,0.86,2.56,-0.66,-1.75,-2.52,-0.73,74.0,92.0,38.0,13.0,2.0,28.0
E. Annan,Novi Pazar,LATERAL,SER,1.04,2.18,-0.7,-0.89,2.15,0.62,79.0,87.0,34.0,26.0,91.0,85.0
R. Jokić,Borac Banja Luka,LATERAL,SER,0.48,2.31,-0.26,-1.78,-0.97,-0.65,64.0,91.0,47.0,11.0,32.0,30.0
D. Ponjević,Zvijezda '09 Brgule,LATERAL,SER,1.82,1.64,-0.95,-0.24,-2.12,0.31,89.0,85.0,19.0,49.0,6.0,72.0
N. Andrič,Novi Pazar,LATERAL,SER,-1.07,-1.41,-1.77,-1.12,-1.62,-1.38,23.0,21.0,4.0,19.0,13.0,2.0
M. Konatar,Železničar Pancevo,LATERAL,SER,-1.51,-0.58,0.08,0.56,-1.08,-1.15,19.0,40.0,57.0,72.0,26.0,6.0
P. Pešukić,Urartu,LATERAL,SER,-0.84,1.02,-0.92,-1.62,0.65,-0.1,28.0,72.0,21.0,15.0,70.0,55.0
S. Hajdin,Železničar Pancevo,LATERAL,SER,-0.39,1.3,-0.42,0.19,4.56,-0.36,40.0,81.0,43.0,66.0,100.0,36.0
A. Tanasin,Mladost Novi Sad,LATERAL,SER,0.1,-1.35,-0.01,1.12,-0.64,-0.41,51.0,23.0,53.0,81.0,42.0,34.0
M. Gašić,Radnik Surdulica,LATERAL,SER,-1.63,-1.69,-1.28,-1.07,-1.43,-0.97,15.0,17.0,9.0,21.0,15.0,13.0
A. Vigo,Crvena Zvezda,LATERAL,SER,2.26,-0.9,0.9,1.06,2.43,0.17,100.0,30.0,83.0,77.0,94.0,68.0
N. Vlajković,Radnički Niš,LATERAL,SER,0.0,1.12,-0.67,-0.61,-1.13,-0.79,49.0,75.0,36.0,40.0,25.0,26.0
V. Durdevic,Voždovac,LATERAL,SER,1.7,1.25,-0.78,-1.06,-1.41,-1.1,85.0,79.0,30.0,23.0,21.0,9.0
A. Stojanović,Radnički Niš,LATERAL,SER,2.09,0.77,1.75,3.3,0.81,3.68,98.0,66.0,92.0,96.0,77.0,100.0
I. Lakićević,Železničar Pancevo,LATERAL,SER,-1.79,-1.15,-0.9,-0.0,0.71,-0.81,11.0,26.0,23.0,57.0,74.0,23.0
M. Ilić,Dubočica,LATERAL,SER,-1.3,-0.89,-1.09,-0.07,-0.19,-0.12,21.0,32.0,15.0,53.0,47.0,53.0
M. Mijailović,Olimpija,LATERAL,SER,-0.01,0.67,0.37,-0.27,0.86,0.52,47.0,64.0,66.0,45.0,81.0,81.0
F. Frei,Radnički Niš,LATERAL,SER,1.92,2.25,0.98,-0.25,2.09,1.95,92.0,89.0,85.0,47.0,89.0,96.0
N. Janković,Kolubara,LATERAL,SER,-0.64,-0.29,0.51,2.66,1.71,0.48,32.0,49.0,74.0,94.0,85.0,77.0
J. Stanojev,Spartak Subotica,LATERAL,SER,-0.62,-1.22,0.84,0.1,0.85,1.22,34.0,25.0,81.0,62.0,79.0,91.0
N. Kočović,Kolubara,LATERAL,SER,-0.91,-0.84,-1.02,-0.49,0.69,-0.28,26.0,34.0,17.0,42.0,72.0,45.0
N. Glišić,IMT Novi Beograd,LATERAL,SER,1.22,3.11,0.09,-2.19,-0.0,1.21,81.0,98.0,60.0,8.0,58.0,89.0
V. Vitorović,Spartak Subotica,LATERAL,SER,-0.1,-0.39,0.69,0.57,-0.04,0.08,45.0,45.0,77.0,74.0,57.0,66.0
P. Ćirković,IMT Novi Beograd,LATERAL,SER,-1.53,-0.55,-0.79,-0.61,-1.69,-0.96,17.0,42.0,28.0,38.0,11.0,15.0
D. Dolmagić,Javor Ivanjica,LATERAL,SER,-2.01,-1.49,-0.86,-0.76,-0.07,-0.16,8.0,19.0,25.0,32.0,55.0,51.0
S. Mitrović,Crvena Zvezda,LATERAL,SER,-0.38,-3.84,3.11,0.13,2.48,3.11,42.0,2.0,100.0,64.0,96.0,98.0
N. Antić,Partizan,LATERAL,SER,-0.23,-1.84,1.09,1.93,0.21,-0.91,43.0,11.0,87.0,89.0,60.0,17.0
V. Prijović,Spartak Subotica,LATERAL,SER,0.97,2.67,-0.81,-0.74,-0.47,0.34,77.0,94.0,26.0,34.0,43.0,74.0
N. Bogdanovski,Novi Pazar,LATERAL,SER,-3.48,-3.28,-0.73,-2.28,-1.3,0.28,2.0,4.0,32.0,6.0,23.0,70.0
S. Urošević,Aris,LATERAL,SER,2.0,0.96,1.64,0.54,0.73,0.58,94.0,70.0,89.0,70.0,75.0,83.0
M. Stevanović,Čukarički,LATERAL,SER,0.88,-0.36,-0.61,0.37,1.32,-0.31,75.0,47.0,40.0,68.0,83.0,43.0
M. Rodić,Crvena Zvezda,LATERAL,SER,2.0,-2.08,2.4,3.38,0.6,-0.87,96.0,9.0,96.0,98.0,66.0,19.0
V. Rogan,Čukarički,LATERAL,SER,0.43,0.13,-0.58,1.07,2.15,-0.34,60.0,57.0,42.0,79.0,92.0,38.0
A. Filipović,Partizan,LATERAL,SER,1.75,3.19,-1.15,-0.78,-1.01,-1.07,87.0,100.0,13.0,30.0,30.0,11.0
M. Ilić,Javor Ivanjica,LATERAL,SER,0.33,1.12,0.81,1.24,-0.19,-0.03,53.0,74.0,79.0,83.0,49.0,60.0
F. Jović,Radnik Surdulica,LATERAL,SER,-0.73,-0.79,-0.38,-0.89,-1.81,-0.07,30.0,36.0,45.0,28.0,9.0,57.0
A. Stojković,Partizan,LATERAL,SER,1.91,-0.06,1.95,2.0,0.28,1.26,91.0,55.0,94.0,92.0,62.0,94.0
A. Varjačić,Mladost Lučani,LATERAL,SER,-2.37,-2.41,0.05,1.01,-0.15,1.23,4.0,6.0,55.0,75.0,51.0,92.0
N. Vukajlović,Napredak Kruševac,LATERAL,SER,-1.03,-0.48,-0.22,-0.19,-1.05,-0.26,25.0,43.0,49.0,51.0,28.0,47.0
N. Duricic,Voždovac,LATERAL,SER,1.34,0.87,0.12,0.03,-0.91,-0.06,83.0,68.0,62.0,60.0,34.0,58.0
U. Lazić,Novi Pazar,LATERAL,SER,-1.78,-0.27,-1.46,-0.93,-1.41,-0.8,13.0,51.0,8.0,25.0,19.0,25.0
Ž. Udovičić,Mladost Lučani,LATERAL,SER,-2.07,-2.38,0.38,1.64,1.92,1.17,6.0,8.0,68.0,87.0,87.0,87.0
M. Cvetković,Bačka Topola,LATERAL,SER,0.55,-1.73,2.78,3.7,3.54,-0.82,68.0,15.0,98.0,100.0,98.0,21.0
M. Lazarević,Vojvodina,LATERAL,SER,0.53,0.67,0.54,-0.62,-0.66,-0.33,66.0,62.0,75.0,36.0,40.0,40.0
N. Tošić,Čukarički,LATERAL,SER,0.78,-0.21,1.68,2.0,0.47,-0.32,72.0,53.0,91.0,91.0,64.0,42.0
N. Petrović,Bačka Topola,LATERAL,SER,0.41,-1.8,0.45,1.47,0.61,-0.54,58.0,13.0,72.0,85.0,68.0,32.0
N. Miletić,Javor Ivanjica,LATERAL,SER,-1.79,-0.69,0.36,0.02,-0.81,0.46,9.0,38.0,64.0,58.0,36.0,75.0
S. Jovanović,Napredak Kruševac,LATERAL,SER,0.47,1.53,-0.22,-0.34,-1.43,0.51,62.0,83.0,51.0,43.0,17.0,79.0
L. Pecelj,Radnički Kragujevac,LATERAL,SER,0.77,0.28,0.43,-0.03,-0.74,0.03,70.0,60.0,70.0,55.0,38.0,62.0
M. Yamkam,Radnički Niš,LATERAL,SER,-0.53,-0.93,0.09,-1.17,-0.09,-0.2,38.0,28.0,58.0,17.0,53.0,49.0
Luis Pérez,Real Valladolid,LATERAL,SPA1,-0.79,0.5,-0.03,0.94,-0.4,-0.72,35.0,68.0,51.0,80.0,49.0,28.0
L. Olaza,Krasnodar,LATERAL,SPA1,-2.06,-1.72,-1.58,-1.46,-1.14,-1.2,4.0,10.0,10.0,12.0,25.0,1.0
Rubén Duarte,Deportivo Alavés,LATERAL,SPA1,-0.85,1.14,-1.46,0.76,-1.22,-1.09,30.0,84.0,13.0,74.0,20.0,9.0
L. Blanco,Elche,LATERAL,SPA1,-0.67,-1.12,0.83,3.7,1.54,1.82,38.0,19.0,72.0,100.0,86.0,93.0
Héctor Bellerín,Real Betis,LATERAL,SPA1,-0.94,-0.36,0.96,0.57,-0.7,-0.04,26.0,41.0,80.0,67.0,39.0,58.0
Jesús Areso,Osasuna,LATERAL,SPA1,-1.06,-1.08,-0.5,-0.67,-0.64,0.81,23.0,20.0,36.0,33.0,43.0,84.0
G. Montiel,Nottingham Forest,LATERAL,SPA1,-1.7,0.32,-0.4,-1.19,1.52,-1.13,6.0,64.0,41.0,16.0,84.0,6.0
Adrià Pedrosa,Sevilla,LATERAL,SPA1,-0.36,0.6,-1.29,0.52,2.25,0.77,48.0,74.0,16.0,65.0,94.0,81.0
João Cancelo,Barcelona,LATERAL,SPA1,2.44,-0.96,2.49,1.45,1.04,2.45,97.0,25.0,100.0,90.0,80.0,97.0
F. Mendy,Real Madrid,LATERAL,SPA1,-0.45,-2.39,-1.62,-1.71,-2.12,-0.96,46.0,3.0,6.0,9.0,3.0,14.0
Lucas Vázquez,Real Madrid,LATERAL,SPA1,2.1,-0.94,0.98,1.26,5.22,0.1,94.0,28.0,81.0,86.0,100.0,65.0
Ricard Sánchez,Granada,LATERAL,SPA1,-2.78,-2.57,0.24,-0.48,-1.21,-0.02,1.0,1.0,54.0,36.0,22.0,61.0
Sergi Roberto,Barcelona,LATERAL,SPA1,0.5,-0.07,0.26,1.08,-0.43,-1.08,65.0,51.0,55.0,83.0,48.0,10.0
Lekue,Athletic Bilbao,LATERAL,SPA1,-0.8,-0.71,0.42,-0.37,-1.53,0.11,33.0,35.0,59.0,38.0,13.0,67.0
Elustondo,Real Sociedad,LATERAL,SPA1,-1.35,-0.95,-1.34,-2.61,-0.34,-0.81,17.0,26.0,14.0,1.0,52.0,20.0
Brian Oliván,Espanyol,LATERAL,SPA1,-1.67,-0.42,-0.84,0.93,2.02,-0.68,7.0,38.0,25.0,77.0,88.0,30.0
H. Traoré,Real Sociedad,LATERAL,SPA1,-0.52,-1.08,0.51,0.43,-0.55,-0.28,43.0,22.0,64.0,62.0,46.0,51.0
J. Mojica,Osasuna,LATERAL,SPA1,0.68,0.22,0.54,1.08,0.15,0.61,68.0,61.0,65.0,81.0,62.0,77.0
Aitor Ruibal,Real Betis,LATERAL,SPA1,1.66,1.87,0.62,0.02,0.82,0.78,88.0,93.0,70.0,55.0,75.0,83.0
Sergi Cardona,Las Palmas,LATERAL,SPA1,3.53,3.22,0.99,0.43,-0.61,-0.3,99.0,99.0,83.0,64.0,45.0,48.0
Toni Lato,Mallorca,LATERAL,SPA1,-1.46,-0.33,-1.62,-1.63,-0.88,-0.47,13.0,42.0,7.0,10.0,30.0,43.0
Abner,Real Betis,LATERAL,SPA1,-0.5,-0.26,-1.59,-1.23,-1.35,-0.81,45.0,45.0,9.0,14.0,17.0,19.0
Hugo Mallo,Internacional,LATERAL,SPA1,0.92,0.91,-0.49,0.74,2.21,-1.12,78.0,83.0,38.0,72.0,91.0,7.0
Iván Fresneda,Sporting CP,LATERAL,SPA1,0.38,0.71,-0.32,-0.79,-1.81,0.16,61.0,77.0,42.0,28.0,7.0,70.0
Y. Sabaly,Real Betis,LATERAL,SPA1,0.1,0.78,-0.58,-2.12,-1.09,0.28,55.0,78.0,32.0,7.0,26.0,71.0
Carlos Neva,Granada,LATERAL,SPA1,-1.39,-0.9,-1.52,-2.56,-1.37,-1.07,16.0,29.0,12.0,3.0,16.0,12.0
Álex Centelles,Almería,LATERAL,SPA1,-1.31,-0.1,-0.16,-0.33,-0.16,-0.55,20.0,48.0,46.0,42.0,57.0,38.0
Tete Morente,Elche,LATERAL,SPA1,-0.92,-0.83,-0.98,-0.82,-1.14,2.38,28.0,30.0,20.0,26.0,23.0,96.0
Alberto Moreno,Villarreal,LATERAL,SPA1,-0.08,0.12,0.33,-1.05,-0.05,-0.8,52.0,58.0,58.0,22.0,59.0,22.0
Alfonso Pedraza,Villarreal,LATERAL,SPA1,-0.72,0.88,1.23,0.11,3.0,0.72,36.0,81.0,88.0,58.0,97.0,80.0
Rubén Peña,Osasuna,LATERAL,SPA1,1.53,3.0,0.91,0.61,-0.39,0.58,87.0,96.0,77.0,70.0,51.0,75.0
Óscar Gil,Espanyol,LATERAL,SPA1,0.21,3.18,-2.69,-2.48,-2.08,-0.05,57.0,97.0,1.0,4.0,4.0,57.0
Y. Carrasco,Al Shabab,LATERAL,SPA1,-1.46,-2.17,1.31,-1.06,4.81,3.16,14.0,4.0,93.0,20.0,99.0,100.0
Juan Cruz,Osasuna,LATERAL,SPA1,-2.3,-1.98,-0.81,-1.17,-0.81,-1.16,3.0,6.0,28.0,17.0,32.0,4.0
M. Acuña,Sevilla,LATERAL,SPA1,1.31,0.02,0.68,2.61,2.25,1.14,86.0,55.0,71.0,97.0,93.0,87.0
Alex Pozo,Almería,LATERAL,SPA1,0.35,0.24,0.45,0.72,-0.12,-0.02,59.0,62.0,62.0,71.0,58.0,59.0
Juan Iglesias,Getafe,LATERAL,SPA1,-0.6,1.55,-1.66,-0.88,-1.0,-0.29,42.0,90.0,4.0,23.0,29.0,49.0
D. Foulquier,Valencia,LATERAL,SPA1,-0.84,-1.29,-0.04,-0.08,-1.53,0.48,32.0,14.0,49.0,51.0,12.0,74.0
Javi Galán,Atlético Madrid,LATERAL,SPA1,1.84,0.54,1.39,1.29,1.39,2.59,91.0,70.0,94.0,88.0,83.0,99.0
Dani Carvajal,Real Madrid,LATERAL,SPA1,1.18,0.09,-1.01,-0.15,2.07,-0.84,84.0,57.0,19.0,48.0,90.0,17.0
Thierry Correia,Valencia,LATERAL,SPA1,1.75,1.89,0.43,1.29,-1.29,-0.01,90.0,94.0,61.0,87.0,19.0,62.0
Diego Rico,Getafe,LATERAL,SPA1,0.53,1.23,0.86,0.94,0.48,-0.46,67.0,87.0,75.0,78.0,72.0,46.0
Juan Miranda,Real Betis,LATERAL,SPA1,-0.64,-0.09,1.02,1.57,2.6,-0.72,39.0,49.0,84.0,91.0,96.0,26.0
Óscar Mingueza,Celta de Vigo,LATERAL,SPA1,0.86,-1.21,1.8,1.88,0.17,0.98,74.0,16.0,97.0,94.0,65.0,86.0
Javi Hernández,Cádiz,LATERAL,SPA1,-0.97,-1.14,-0.45,-1.17,-1.43,-0.51,25.0,17.0,39.0,19.0,14.0,42.0
Sergio Akieme,Almería,LATERAL,SPA1,-1.55,-1.86,-0.85,-0.18,-0.72,0.63,12.0,7.0,23.0,46.0,38.0,78.0
Aihen Muñoz,Real Sociedad,LATERAL,SPA1,1.1,0.86,0.56,-0.31,-0.69,0.13,83.0,80.0,67.0,43.0,41.0,68.0
Jesús Navas,Sevilla,LATERAL,SPA1,0.47,-0.4,0.6,2.98,1.37,1.49,64.0,39.0,68.0,99.0,81.0,91.0
Moncayola,Osasuna,LATERAL,SPA1,0.75,-0.24,0.94,1.69,0.38,-1.17,71.0,46.0,78.0,93.0,68.0,3.0
E. Camavinga,Real Madrid,LATERAL,SPA1,3.85,4.31,1.18,-0.28,0.72,1.36,100.0,100.0,86.0,45.0,74.0,90.0
Andoni Gorosabel,Deportivo Alavés,LATERAL,SPA1,0.23,0.56,-0.68,-0.69,-0.8,-0.61,58.0,71.0,30.0,32.0,33.0,32.0
G. Álvarez,Getafe,LATERAL,SPA1,-0.91,0.38,-1.79,-2.39,-2.71,-0.96,29.0,65.0,3.0,6.0,1.0,13.0
Jaume Costa,Mallorca,LATERAL,SPA1,-1.65,-0.44,-0.74,-0.83,-0.69,-0.46,9.0,36.0,29.0,25.0,42.0,45.0
D. Suárez,Getafe,LATERAL,SPA1,-1.33,-0.72,-0.91,-0.64,-0.29,-0.61,19.0,33.0,22.0,35.0,54.0,35.0
Alejandro Balde,Barcelona,LATERAL,SPA1,0.72,-1.72,1.27,-0.09,0.97,1.92,70.0,9.0,90.0,49.0,78.0,94.0
Yuri,Athletic Bilbao,LATERAL,SPA1,0.82,0.42,0.86,0.6,-0.75,-0.61,72.0,67.0,74.0,68.0,36.0,33.0
Manu Sánchez,Celta de Vigo,LATERAL,SPA1,0.09,1.16,-0.54,0.34,0.84,-0.69,54.0,86.0,33.0,59.0,77.0,29.0
Arnau Martínez,Girona,LATERAL,SPA1,0.89,0.57,-0.51,-0.33,0.47,-0.57,75.0,72.0,35.0,41.0,71.0,36.0
N. Molina,Atlético Madrid,LATERAL,SPA1,0.91,-0.76,-0.12,0.4,1.93,-0.54,77.0,32.0,48.0,61.0,87.0,39.0
Pablo Maffeo,Mallorca,LATERAL,SPA1,-0.61,-0.04,-0.22,-0.02,0.06,1.14,41.0,52.0,43.0,54.0,61.0,88.0
J. Foyth,Villarreal,LATERAL,SPA1,2.01,1.32,1.2,-0.77,-1.94,-0.07,93.0,88.0,87.0,29.0,6.0,55.0
Fran García,Real Madrid,LATERAL,SPA1,1.01,0.19,2.33,-0.36,-0.77,0.03,81.0,59.0,99.0,39.0,35.0,64.0
Miguel Gutiérrez,Girona,LATERAL,SPA1,-0.32,-1.46,0.1,1.22,0.33,0.29,49.0,13.0,52.0,84.0,67.0,72.0
J. Koundé,Barcelona,LATERAL,SPA1,2.41,-1.0,1.76,0.1,-1.03,-0.87,96.0,23.0,96.0,57.0,28.0,16.0
De Marcos,Athletic Bilbao,LATERAL,SPA1,0.41,-0.3,1.3,1.91,0.43,-0.73,62.0,43.0,91.0,96.0,70.0,25.0
José Gayá,Valencia,LATERAL,SPA1,-0.14,-0.01,0.28,0.79,0.15,-0.27,51.0,54.0,57.0,75.0,64.0,54.0
Iza Carcelén,Cádiz,LATERAL,SPA1,-1.23,0.68,-1.29,-0.71,-1.68,-0.53,22.0,75.0,17.0,30.0,9.0,41.0
I. Balliu,Rayo Vallecano,LATERAL,SPA1,-1.55,-1.6,-0.82,-1.34,-1.53,-0.74,10.0,12.0,26.0,13.0,10.0,23.0
A. Espino,Rayo Vallecano,LATERAL,SPA1,0.95,1.78,-0.22,-0.03,-0.2,-0.28,80.0,91.0,45.0,52.0,55.0,52.0
K. Karataş,Galatasaray,LATERAL,TUR,1.46,1.57,0.26,-0.62,-0.56,0.2,85.0,85.0,59.0,39.0,39.0,69.0
M. Aydin,Trabzonspor,LATERAL,TUR,1.42,4.72,-1.77,-3.09,-2.89,-0.12,83.0,100.0,5.0,2.0,2.0,61.0
S. Gönül,Samsunspor,LATERAL,TUR,-1.21,-0.62,-0.55,1.21,-0.71,-1.11,19.0,41.0,37.0,80.0,37.0,5.0
T. Şahin,Rizespor,LATERAL,TUR,0.54,2.23,-0.89,0.36,0.59,-0.7,68.0,93.0,24.0,66.0,64.0,24.0
B. Kapacak,Sivasspor,LATERAL,TUR,-2.45,-1.67,-0.64,0.26,2.12,2.18,3.0,12.0,34.0,64.0,90.0,95.0
Candeias,Kocaelispor,LATERAL,TUR,-0.71,-1.59,0.75,3.43,2.52,-0.56,32.0,15.0,83.0,100.0,92.0,36.0
Júnior Morais,Gaziantep,LATERAL,TUR,-1.41,1.39,-1.43,-1.37,-2.16,-1.15,14.0,83.0,12.0,19.0,7.0,3.0
S. Göksu,Ümranıyespor,LATERAL,TUR,2.32,-0.31,0.23,2.27,0.19,-0.12,97.0,44.0,58.0,93.0,56.0,59.0
J. Oosterwolde,Fenerbahçe,LATERAL,TUR,1.03,-2.69,0.7,-0.97,-1.39,0.38,78.0,3.0,80.0,27.0,24.0,78.0
