,Atleta,Equipe Janela Análise,Posição,Liga,Dribles bem sucedidos /90,Dribles bem sucedidos /90_percentil,Drible,Drible_percentil
8387,S. Jaurena,Alvarado,MEIO-CAMPO,ARG2,1.74,93,1.74,93
8388,A. González,Patronato,MEIO-CAMPO,ARG2,2.47,97,2.47,97
8389,M. Céliz,Deportivo Riestra,MEIO-CAMPO,ARG2,0.75,80,0.75,80
8390,A. Fernández,San Telmo,MEIO-CAMPO,ARG2,3.14,100,3.14,100
8391,S. Carruega,Club Atlético Güemes,MEIO-CAMPO,ARG2,0.5,72,0.5,72
8392,R. Vélez,Chaco For Ever,MEIO-CAMPO,ARG2,-0.75,31,-0.75,31
8393,A. Bustos,Racing Córdoba,MEIO-CAMPO,ARG2,-0.7,33,-0.7,33
8394,R. Ramírez,Deportivo Maipú,MEIO-CAMPO,ARG2,-0.91,18,-0.91,18
8395,I. Antonio,Gimnasia Mendoza,MEIO-CAMPO,ARG2,-0.45,41,-0.45,41
8396,F. Bellocq,Tristán Suárez,MEIO-CAMPO,ARG2,-0.92,16,-0.92,16
8397,A. Benítez,Defensores de Belgrano,MEIO-CAMPO,ARG2,0.89,84,0.89,84
8398,M. Luayza,Guillermo Brown,MEIO-CAMPO,ARG2,0.55,74,0.55,74
8399,M. Enrique,Quilmes,MEIO-CAMPO,ARG2,0.08,63,0.08,63
8400,A. Oyola,Racing Córdoba,MEIO-CAMPO,ARG2,0.52,73,0.52,73
8401,M. Santiago,Godoy Cruz,MEIO-CAMPO,ARG2,1.13,87,1.13,87
8402,S. González,San Martín San Juan,MEIO-CAMPO,ARG2,-0.23,49,-0.23,49
8403,F. Recalde,Deportivo Madryn,MEIO-CAMPO,ARG2,0.4,69,0.4,69
8404,F. Antonini,Gimnasia Mendoza,MEIO-CAMPO,ARG2,-1.24,3,-1.24,3
8405,R. Luna,Quilmes,MEIO-CAMPO,ARG2,2.11,96,2.11,96
8406,M. Rivero,Agropecuario,MEIO-CAMPO,ARG2,0.29,66,0.29,66
8407,A. Melo,All Boys,MEIO-CAMPO,ARG2,0.8,81,0.8,81
8408,J. Galeano,Atlético Rafaela,MEIO-CAMPO,ARG2,2.03,95,2.03,95
8409,J. Olivares,Deportivo Morón,MEIO-CAMPO,ARG2,0.91,85,0.91,85
8410,J. Blanco,Estudiantes Río Cuarto,MEIO-CAMPO,ARG2,-0.83,22,-0.83,22
8411,R. Blanco,Ferro Carril Oeste,MEIO-CAMPO,ARG2,0.67,77,0.67,77
8412,L. Jeréz,Almagro,MEIO-CAMPO,ARG2,-0.76,30,-0.76,30
8413,H. Soria,Gimnasia Jujuy,MEIO-CAMPO,ARG2,-1.0,11,-1.0,12
8414,N. Sánchez,Deportivo Madryn,MEIO-CAMPO,ARG2,-0.09,53,-0.09,53
8415,F. Montero,Deportivo Maipú,MEIO-CAMPO,ARG2,-0.82,23,-0.82,23
8416,M. Fissore,Atlético Rafaela,MEIO-CAMPO,ARG2,-1.18,4,-1.18,4
8417,I. Ramírez,Quilmes,MEIO-CAMPO,ARG2,-0.91,18,-0.91,18
8418,N. Leyes,Alvarado,MEIO-CAMPO,ARG2,-1.11,9,-1.11,9
8419,S. López,San Martín San Juan,MEIO-CAMPO,ARG2,1.14,89,1.14,89
8420,A. Dramisino,Atlanta,MEIO-CAMPO,ARG2,0.44,70,0.44,70
8421,G. Abregú,San Martín Tucumán,MEIO-CAMPO,ARG2,-0.03,58,-0.03,58
8422,M. Lugo,Estudiantes Caseros,MEIO-CAMPO,ARG2,-0.49,41,-0.49,41
8423,F. Romero,Estudiantes Río Cuarto,MEIO-CAMPO,ARG2,-0.65,36,-0.65,36
8424,M. Villarreal,Agropecuario,MEIO-CAMPO,ARG2,-1.12,8,-1.12,8
8425,I. Gutiérrez,Defensores de Belgrano,MEIO-CAMPO,ARG2,-1.07,10,-1.07,10
8426,J. Requena,Atlanta,MEIO-CAMPO,ARG2,-1.17,6,-1.17,6
8427,M. Nizzo,Defensores Unidos,MEIO-CAMPO,ARG2,-0.81,24,-0.81,24
8428,N. Pelaitay,San Martín San Juan,MEIO-CAMPO,ARG2,-0.78,27,-0.78,27
8429,J. Alessandroni,Club Atlético Mitre,MEIO-CAMPO,ARG2,-0.93,15,-0.93,15
8430,N. Domingo,Arsenal,MEIO-CAMPO,ARG2,-0.77,29,-0.77,29
8431,N. Talpone,Colón,MEIO-CAMPO,ARG2,0.01,59,0.01,59
8432,M. Leckie,Melbourne City,MEIO-CAMPO,AUS,2.08,95,2.08,95
8433,S. Luštica,Western United,MEIO-CAMPO,AUS,-1.11,2,-1.11,2
8434,S. Mauk,Adelaide United,MEIO-CAMPO,AUS,-0.32,49,-0.32,49
8435,J. Yull,Adelaide United,MEIO-CAMPO,AUS,0.1,72,0.1,72
8436,A. Lopane,Melbourne City,MEIO-CAMPO,AUS,0.72,84,0.72,84
8437,M. Amini,Perth Glory,MEIO-CAMPO,AUS,0.13,74,0.13,74
8438,R. Tunnicliffe,Adelaide United,MEIO-CAMPO,AUS,-0.85,16,-0.85,16
8439,T. Gomulka,Brisbane Roar II,MEIO-CAMPO,AUS,-0.6,30,-0.6,30
8440,H. Sakhi,Ajaccio,MEIO-CAMPO,AUS,0.37,77,0.37,77
8441,E. Alagich,Adelaide United,MEIO-CAMPO,AUS,-0.8,19,-0.8,19
8442,J. Jeggo,Melbourne City,MEIO-CAMPO,AUS,-1.05,5,-1.05,5
8443,B. Tapp,Central Coast Mariners,MEIO-CAMPO,AUS,-0.5,37,-0.5,37
8444,J. Caletti,Brisbane Roar,MEIO-CAMPO,AUS,-0.86,12,-0.86,12
8445,S. Pasquali,Western United,MEIO-CAMPO,AUS,-0.65,28,-0.65,28
8446,C. Timmins,Newcastle Jets,MEIO-CAMPO,AUS,-0.11,58,-0.11,58
8447,M. Al-Taay,Wellington Phoenix,MEIO-CAMPO,AUS,0.02,67,0.02,67
8448,O. Priestman,Western Sydney Wanderers,MEIO-CAMPO,AUS,-0.37,44,-0.37,44
8449,J. Hollman,Macarthur,MEIO-CAMPO,AUS,1.02,88,1.02,88
8450,J. Brillante,Western Sydney Wanderers,MEIO-CAMPO,AUS,-0.99,9,-0.99,9
8451,C. Hollman,Sydney,MEIO-CAMPO,AUS,-0.5,40,-0.5,40
8452,K. Baccus,Macarthur,MEIO-CAMPO,AUS,-0.41,42,-0.41,42
8453,J. Hendrix,Western Sydney Wanderers,MEIO-CAMPO,AUS,-0.68,26,-0.68,26
8454,J. Brimmer,Melbourne Victory,MEIO-CAMPO,AUS,-0.53,35,-0.53,35
8455,B. O'Neill,Newcastle Jets,MEIO-CAMPO,AUS,-0.85,14,-0.85,14
8456,N. Pennington,Wellington Phoenix,MEIO-CAMPO,AUS,0.04,70,0.04,70
8457,T. Arslan,Melbourne City,MEIO-CAMPO,AUS,1.49,91,1.49,91
8458,B. Old,Wellington Phoenix,MEIO-CAMPO,AUS,3.69,100,3.69,100
8459,C. Lewis,Macarthur,MEIO-CAMPO,AUS,-0.36,47,-0.36,47
8460,Isaias,Adelaide United,MEIO-CAMPO,AUS,-0.1,60,-0.1,60
8461,Z. Clough,Adelaide United,MEIO-CAMPO,AUS,0.76,86,0.76,86
8462,S. Ugarković,Melbourne City,MEIO-CAMPO,AUS,-0.13,56,-0.13,56
8463,R. Teague,Melbourne Victory,MEIO-CAMPO,AUS,-1.01,7,-1.01,7
8464,K. Grozos,Newcastle Jets,MEIO-CAMPO,AUS,-0.77,21,-0.77,21
8465,J. O'Shea,Brisbane Roar,MEIO-CAMPO,AUS,0.56,79,0.56,79
8466,B. Kraev,Wellington Phoenix,MEIO-CAMPO,AUS,0.59,81,0.59,81
8467,Z. Machach,Melbourne Victory,MEIO-CAMPO,AUS,2.46,98,2.46,98
8468,A. Rufer,Wellington Phoenix,MEIO-CAMPO,AUS,-0.07,65,-0.07,65
8469,G. Colli,Perth Glory,MEIO-CAMPO,AUS,-0.76,23,-0.76,23
8470,A. Thurgate,Western United,MEIO-CAMPO,AUS,-0.28,51,-0.28,51
8471,A. Cáceres,Sydney,MEIO-CAMPO,AUS,1.54,93,1.54,93
8472,L. Brattan,Sydney,MEIO-CAMPO,AUS,-0.59,33,-0.59,33
8473,M. Balard,Central Coast Mariners,MEIO-CAMPO,AUS,-0.26,53,-0.26,53
8474,J. Nisbet,Central Coast Mariners,MEIO-CAMPO,AUS,-0.07,63,-0.07,63
8475,N. Gorzel,Austria Lustenau,MEIO-CAMPO,AUT,-0.54,39,-0.54,39
8476,J. Naschberger,WSG Swarovski Tirol,MEIO-CAMPO,AUT,-1.03,9,-1.03,9
8477,B. Blume,WSG Swarovski Tirol,MEIO-CAMPO,AUT,-1.04,7,-1.04,7
8478,V. Müller,WSG Swarovski Tirol,MEIO-CAMPO,AUT,-1.05,6,-1.05,6
8479,M. Braunöder,Como,MEIO-CAMPO,AUT,0.61,81,0.61,81
8480,V. Demaku,Rheindorf Altach,MEIO-CAMPO,AUT,0.16,67,0.16,67
8481,M. Besuschkow,Austria Klagenfurt,MEIO-CAMPO,AUT,-0.31,52,-0.31,52
8482,J. Ertlthaler,Tychy 71,MEIO-CAMPO,AUT,-0.43,44,-0.43,44
8483,V. Berisha,LASK ,MEIO-CAMPO,AUT,-0.97,15,-0.97,15
8484,A. Jukić,Sochi,MEIO-CAMPO,AUT,0.58,80,0.58,80
8485,L. Kronberger,WSG Swarovski Tirol,MEIO-CAMPO,AUT,0.02,61,0.02,61
8486,J. Holland,Austria Wien,MEIO-CAMPO,AUT,-0.65,31,-0.65,31
8487,S. Ogrinec,WSG Swarovski Tirol,MEIO-CAMPO,AUT,-0.34,50,-0.34,50
8488,B. Jovičić,LASK ,MEIO-CAMPO,AUT,-0.87,20,-0.87,20
8489,M. Leitgeb,Wolfsberger AC,MEIO-CAMPO,AUT,-1.23,4,-1.23,4
8490,C. Üstündag,WSG Swarovski Tirol,MEIO-CAMPO,AUT,-0.25,54,-0.25,54
8491,A. Briedl,Blau-Weiß Linz,MEIO-CAMPO,AUT,0.48,72,0.48,72
8492,A. Forson,Salzburg,MEIO-CAMPO,AUT,1.36,89,1.36,89
8493,T. Rhein,Austria Lustenau,MEIO-CAMPO,AUT,0.03,63,0.03,63
8494,M. Potzmann,Austria Wien,MEIO-CAMPO,AUT,0.1,65,0.1,65
8495,R. Kerschbaum,Rapid Wien,MEIO-CAMPO,AUT,-0.87,24,-0.87,24
8496,M. Kjærgaard,Salzburg,MEIO-CAMPO,AUT,-0.1,57,-0.1,57
8497,L. Grgić,Rapid Wien,MEIO-CAMPO,AUT,-0.82,26,-0.82,26
8498,L. Sučić,Salzburg,MEIO-CAMPO,AUT,2.55,98,2.55,98
8499,R. Žulj,LASK ,MEIO-CAMPO,AUT,-0.5,41,-0.5,41
8500,S. Surdanović,Austria Lustenau,MEIO-CAMPO,AUT,0.44,70,0.44,70
8501,M. Bidstrup,Salzburg,MEIO-CAMPO,AUT,0.57,78,0.57,78
8502,T. Koch,Blau-Weiß Linz,MEIO-CAMPO,AUT,-0.61,33,-0.61,33
8503,S. Tijani,Wolfsberger AC,MEIO-CAMPO,AUT,-0.56,37,-0.56,37
8504,O. Gloukh,Salzburg,MEIO-CAMPO,AUT,2.24,96,2.24,96
8505,L. Gourna-Douath,Salzburg,MEIO-CAMPO,AUT,-0.2,56,-0.2,56
8506,D. Prokop,Hartberg,MEIO-CAMPO,AUT,1.96,94,1.96,94
8507,T. Kainz,Hartberg,MEIO-CAMPO,AUT,-1.02,11,-1.02,11
8508,T. Horvat,Sturm Graz,MEIO-CAMPO,AUT,1.09,87,1.09,87
8509,C. Cvetko,Austria Klagenfurt,MEIO-CAMPO,AUT,-0.76,28,-0.76,28
8510,O. Kiteishvili,Sturm Graz,MEIO-CAMPO,AUT,1.06,85,1.06,85
8511,A. Irving,Austria Klagenfurt,MEIO-CAMPO,AUT,0.53,74,0.53,74
8512,M. Krainz,Blau-Weiß Linz,MEIO-CAMPO,AUT,-0.37,46,-0.37,46
8513,D. Tiefenbach,Austria Lustenau,MEIO-CAMPO,AUT,-0.99,13,-0.99,13
8514,S. Altunashvili,Wolfsberger AC,MEIO-CAMPO,AUT,-0.44,43,-0.44,43
8515,O. Diakité,Hartberg,MEIO-CAMPO,AUT,-0.59,35,-0.59,35
8516,S. Horvath,LASK ,MEIO-CAMPO,AUT,2.9,100,2.9,100
8517,M. Sangaré,Hartberg,MEIO-CAMPO,AUT,1.73,93,1.73,93
8518,P. Grabher,Austria Lustenau,MEIO-CAMPO,AUT,-0.87,22,-0.87,22
8519,M. Taferner,WSG Swarovski Tirol,MEIO-CAMPO,AUT,1.41,91,1.41,91
8520,N. Sattlberger,Rapid Wien,MEIO-CAMPO,AUT,-0.7,30,-0.7,30
8521,M. Bähre,Rheindorf Altach,MEIO-CAMPO,AUT,-0.1,59,-0.1,59
8522,R. Benatelli,Austria Klagenfurt,MEIO-CAMPO,AUT,-0.87,19,-0.87,19
8523,J. Gorenc Stankovič,Sturm Graz,MEIO-CAMPO,AUT,-1.27,2,-1.27,2
8524,M. Seidl,Rapid Wien,MEIO-CAMPO,AUT,0.17,69,0.17,69
8525,L. Jäger,Rheindorf Altach,MEIO-CAMPO,AUT,-0.9,17,-0.9,17
8526,L. Fadinger,Rheindorf Altach,MEIO-CAMPO,AUT,0.54,76,0.54,76
8527,A. Prass,Sturm Graz,MEIO-CAMPO,AUT,1.04,83,1.04,83
8528,M. Fischer,Austria Wien,MEIO-CAMPO,AUT,-0.35,48,-0.35,48
8529,E. Camara,Charleroi,MEIO-CAMPO,BEL1,-0.13,63,-0.13,63
8530,K. Malinov,Kortrijk,MEIO-CAMPO,BEL1,-0.48,34,-0.48,34
8531,K. Misao,OH Leuven,MEIO-CAMPO,BEL1,-1.14,1,-1.14,1
8532,A. Hjulsager,Gent,MEIO-CAMPO,BEL1,2.01,94,2.01,94
8533,H. Sahabo,Standard Liège,MEIO-CAMPO,BEL1,-0.75,19,-0.75,19
8534,R. Morioka,Charleroi,MEIO-CAMPO,BEL1,-0.59,27,-0.59,27
8535,A. Francis,Cercle Brugge,MEIO-CAMPO,BEL1,-0.79,17,-0.79,17
8536,J. Fujita,Sint-Truiden,MEIO-CAMPO,BEL1,-0.35,49,-0.35,49
8537,Y. Verschaeren,Anderlecht,MEIO-CAMPO,BEL1,0.42,83,0.42,83
8538,D. Haspolat,Westerlo,MEIO-CAMPO,BEL1,-0.91,7,-0.91,7
8539,M. Bruno,Kortrijk,MEIO-CAMPO,BEL1,0.43,84,0.43,84
8540,P. Gerkens,Gent,MEIO-CAMPO,BEL1,-0.81,14,-0.81,14
8541,K. Möhwald,Eupen,MEIO-CAMPO,BEL1,-0.75,20,-0.75,20
8542,T. Delaney,Anderlecht,MEIO-CAMPO,BEL1,-0.79,16,-0.79,16
8543,Y. Gboho,Toulouse,MEIO-CAMPO,BEL1,3.16,99,3.16,99
8544,A. O'Neill,Standard Liège,MEIO-CAMPO,BEL1,-0.42,41,-0.42,41
8545,M. Konaté,Mechelen,MEIO-CAMPO,BEL1,0.12,70,0.12,70
8546,N. Sadiki,Union Saint-Gilloise,MEIO-CAMPO,BEL1,-0.33,50,-0.33,50
8547,C. Nielsen,Club Brugge,MEIO-CAMPO,BEL1,-0.52,33,-0.52,33
8548,J. Dom,OH Leuven,MEIO-CAMPO,BEL1,-0.83,11,-0.83,11
8549,O. Gandelman,Gent,MEIO-CAMPO,BEL1,-0.95,4,-0.95,4
8550,A. Keita,Eupen,MEIO-CAMPO,BEL1,0.18,74,0.18,74
8551,J. Reine-Adélaïde,RWD Molenbeek,MEIO-CAMPO,BEL1,1.76,91,1.76,91
8552,B. Lambert,Eupen,MEIO-CAMPO,BEL1,-0.3,53,-0.3,53
8553,W. Balikwisha,Standard Liège,MEIO-CAMPO,BEL1,3.62,100,3.62,100
8554,A. Yusuf,Antwerp,MEIO-CAMPO,BEL1,0.28,79,0.28,79
8555,S. Alzate,Standard Liège,MEIO-CAMPO,BEL1,-0.3,51,-0.3,51
8556,L. Amani,Union Saint-Gilloise,MEIO-CAMPO,BEL1,1.21,90,1.21,90
8557,N. Mukau,Mechelen,MEIO-CAMPO,BEL1,-0.37,47,-0.37,47
8558,S. Abe,RWD Molenbeek,MEIO-CAMPO,BEL1,-0.84,10,-0.84,10
8559,A. Vermeeren,Atlético Madrid,MEIO-CAMPO,BEL1,-0.48,37,-0.48,37
8560,A. Piedfort,Westerlo,MEIO-CAMPO,BEL1,-0.48,36,-0.48,36
8561,M. Rasmussen,Union Saint-Gilloise,MEIO-CAMPO,BEL1,-0.53,31,-0.53,31
8562,M. Ilaimaharitra,Charleroi,MEIO-CAMPO,BEL1,-0.22,60,-0.22,60
8563,D. Heymans,Charleroi,MEIO-CAMPO,BEL1,-0.85,9,-0.85,9
8564,M. Keita,Antwerp,MEIO-CAMPO,BEL1,1.01,89,1.01,89
8565,A. Zorgane,Charleroi,MEIO-CAMPO,BEL1,0.21,76,0.21,76
8566,F. Lemaréchal,Cercle Brugge,MEIO-CAMPO,BEL1,1.83,93,1.83,93
8567,Y. Maziz,OH Leuven,MEIO-CAMPO,BEL1,0.9,87,0.9,87
8568,M. Galarza,Genk,MEIO-CAMPO,BEL1,0.37,80,0.37,80
8569,B. Heynen,Genk,MEIO-CAMPO,BEL1,-0.17,61,-0.17,61
8570,Hong Hyun-Seok,Gent,MEIO-CAMPO,BEL1,0.05,67,0.05,67
8571,A. Sissako,Kortrijk,MEIO-CAMPO,BEL1,0.13,71,0.13,71
8572,S. Kums,Gent,MEIO-CAMPO,BEL1,-0.74,21,-0.74,21
8573,M. Stroeykens,Anderlecht,MEIO-CAMPO,BEL1,-0.24,57,-0.24,57
8574,P. Dwomoh,RWD Molenbeek,MEIO-CAMPO,BEL1,0.26,77,0.26,77
8575,S. Sydorchuk,Westerlo,MEIO-CAMPO,BEL1,0.16,73,0.16,73
8576,R. Onyedika,Club Brugge,MEIO-CAMPO,BEL1,-0.59,26,-0.59,26
8577,R. Ito,Sint-Truiden,MEIO-CAMPO,BEL1,0.39,81,0.39,81
8578,H. Vetlesen,Club Brugge,MEIO-CAMPO,BEL1,0.11,69,0.11,69
8579,E. Banzuzi,OH Leuven,MEIO-CAMPO,BEL1,-0.41,44,-0.41,44
8580,B. Baiye,Eupen,MEIO-CAMPO,BEL1,-0.69,23,-0.69,23
8581,T. Leoni,Anderlecht,MEIO-CAMPO,BEL1,-0.39,46,-0.39,46
8582,H. Kawabe,Standard Liège,MEIO-CAMPO,BEL1,-0.44,39,-0.44,39
8583,A. Kadri,Kortrijk,MEIO-CAMPO,BEL1,2.64,96,2.64,96
8584,Leonardo Lopes,Cercle Brugge,MEIO-CAMPO,BEL1,-0.01,66,-0.01,66
8585,J. Ekkelenkamp,Antwerp,MEIO-CAMPO,BEL1,-0.62,24,-0.62,24
8586,N. Madsen,Westerlo,MEIO-CAMPO,BEL1,-0.42,40,-0.42,40
8587,H. Van der Bruggen,Cercle Brugge,MEIO-CAMPO,BEL1,-0.57,30,-0.57,30
8588,B. El Khannouss,Genk,MEIO-CAMPO,BEL1,0.89,86,0.89,86
8589,M. Rits,Anderlecht,MEIO-CAMPO,BEL1,-1.12,3,-1.12,3
8590,P. Hrošovský,Genk,MEIO-CAMPO,BEL1,-0.26,54,-0.26,54
8591,C. Vanhoutte,Union Saint-Gilloise,MEIO-CAMPO,BEL1,-0.94,6,-0.94,6
8592,S. Schrijvers,OH Leuven,MEIO-CAMPO,BEL1,-0.25,56,-0.25,56
8593,J. De Sart,Gent,MEIO-CAMPO,BEL1,-0.42,43,-0.42,43
8594,R. Schoofs,Mechelen,MEIO-CAMPO,BEL1,-0.09,64,-0.09,64
8595,K. Mrabti,Mechelen,MEIO-CAMPO,BEL1,-0.58,29,-0.58,29
8596,Cameron Puertas,Union Saint-Gilloise,MEIO-CAMPO,BEL1,2.74,97,2.74,97
8597,M. Delorge-Knieper,Sint-Truiden,MEIO-CAMPO,BEL1,-0.83,13,-0.83,13
8598,H. Vanaken,Club Brugge,MEIO-CAMPO,BEL1,-0.22,59,-0.22,59
8599,L. Raillot,RFC Seraing,MEIO-CAMPO,BEL2,-0.23,55,-0.23,55
8600,S. Audoor,Club Brugge II,MEIO-CAMPO,BEL2,0.35,73,0.35,73
8601,H. Sahabo,Standard Liège,MEIO-CAMPO,BEL2,0.65,84,0.65,84
8602,T. Diallo,Francs Borains,MEIO-CAMPO,BEL2,-0.36,47,-0.36,47
8603,J. Lioka,Liège,MEIO-CAMPO,BEL2,0.19,64,0.19,64
8604,J. Cools,Lierse Kempenzonen,MEIO-CAMPO,BEL2,-1.05,5,-1.05,5
8605,T. Nnadi,Zulte-Waregem,MEIO-CAMPO,BEL2,-0.4,44,-0.4,44
8606,M. Osifo,OH Leuven,MEIO-CAMPO,BEL2,-0.46,36,-0.46,36
8607,T. Pierrot,Patro Eisden,MEIO-CAMPO,BEL2,-0.82,24,-0.82,24
8608,Y. Massolin,Francs Borains,MEIO-CAMPO,BEL2,2.74,98,2.74,98
8609,L. Van Eenoo,Patro Eisden,MEIO-CAMPO,BEL2,-0.31,49,-0.31,49
8610,R. Berberi,Standard Liège II,MEIO-CAMPO,BEL2,0.54,80,0.54,80
8611,O. Myny,Dender,MEIO-CAMPO,BEL2,-0.42,42,-0.42,42
8612,J. Geusens,SK Beveren,MEIO-CAMPO,BEL2,0.69,87,0.69,87
8613,J. Van Oudenhove,Dender,MEIO-CAMPO,BEL2,-0.92,15,-0.92,15
8614,M. Mouhli,Liège,MEIO-CAMPO,BEL2,2.37,95,2.37,95
8615,Alejandro Granados,Club Brugge II,MEIO-CAMPO,BEL2,-0.63,33,-0.63,33
8616,K. Karetsas,Genk,MEIO-CAMPO,BEL2,3.41,100,3.41,100
8617,L. Goemaere,Club Brugge U19,MEIO-CAMPO,BEL2,-0.66,31,-0.66,31
8618,Y. Gueroui,Patro Eisden,MEIO-CAMPO,BEL2,-1.04,7,-1.04,7
8619,S. Van Dessel,Lierse Kempenzonen,MEIO-CAMPO,BEL2,-0.97,11,-0.97,11
8620,A. Engwanda,Anderlecht II,MEIO-CAMPO,BEL2,-0.13,60,-0.13,60
8621,T. Degreef,Anderlecht,MEIO-CAMPO,BEL2,1.88,93,1.88,93
8622,N. Rommens,Zulte-Waregem,MEIO-CAMPO,BEL2,-1.13,2,-1.13,2
8623,R. Vormer,Zulte-Waregem,MEIO-CAMPO,BEL2,-0.84,20,-0.84,20
8624,Everton Luiz,SK Beveren,MEIO-CAMPO,BEL2,-0.37,45,-0.37,45
8625,Y. Loemba,Liège,MEIO-CAMPO,BEL2,2.38,96,2.38,96
8626,R. Merlen,Liège,MEIO-CAMPO,BEL2,-0.25,53,-0.25,53
8627,A. Tajaouart,Anderlecht II,MEIO-CAMPO,BEL2,0.69,85,0.69,85
8628,E. Henderson,Oostende,MEIO-CAMPO,BEL2,0.33,71,0.33,71
8629,I. Bangoura,Genk II,MEIO-CAMPO,BEL2,0.32,69,0.32,69
8630,S. Peeters,Patro Eisden,MEIO-CAMPO,BEL2,0.64,82,0.64,82
8631,M. Itrak,Francs Borains,MEIO-CAMPO,BEL2,-0.96,13,-0.96,13
8632,R. Sanusi,Beerschot-Wilrijk,MEIO-CAMPO,BEL2,0.11,62,0.11,62
8633,S. Dewaele,Oostende,MEIO-CAMPO,BEL2,-1.08,4,-1.08,4
8634,K. Van De Perre,Genk II,MEIO-CAMPO,BEL2,0.35,75,0.35,75
8635,L. Verstraete,SK Beveren,MEIO-CAMPO,BEL2,0.37,76,0.37,76
8636,M. Cachbach,RFC Seraing,MEIO-CAMPO,BEL2,0.77,89,0.77,89
8637,L. Hens,Dender,MEIO-CAMPO,BEL2,1.09,91,1.09,91
8638,W. Cagro,Beerschot-Wilrijk,MEIO-CAMPO,BEL2,-0.17,58,-0.17,58
8639,N. Mawete,Standard Liège II,MEIO-CAMPO,BEL2,0.46,78,0.46,78
8640,C. Lepoint,RFC Seraing,MEIO-CAMPO,BEL2,-0.82,22,-0.82,22
8641,Álex Granell,Lommel SK,MEIO-CAMPO,BEL2,-0.78,27,-0.78,27
8642,T. Claes,Genk II,MEIO-CAMPO,BEL2,0.29,67,0.29,67
8643,Liam De Smet,Club Brugge U19,MEIO-CAMPO,BEL2,-0.85,18,-0.85,18
8644,S. Brebels,Lierse Kempenzonen,MEIO-CAMPO,BEL2,-0.77,29,-0.77,29
8645,R. Wilmots,Liège,MEIO-CAMPO,BEL2,-0.43,40,-0.43,40
8646,M. Healy,Francs Borains,MEIO-CAMPO,BEL2,-0.44,38,-0.44,38
8647,N. Rôdes,Dender,MEIO-CAMPO,BEL2,-0.78,25,-0.78,25
8648,T. Pietermaat,Patro Eisden,MEIO-CAMPO,BEL2,-0.88,16,-0.88,16
8649,T. Van Acker,Lierse Kempenzonen,MEIO-CAMPO,BEL2,-0.97,9,-0.97,9
8650,T. Quintero,Deinze,MEIO-CAMPO,BEL2,-0.2,56,-0.2,56
8651,D. Karim,Lommel SK,MEIO-CAMPO,BEL2,0.26,65,0.26,65
8652,G. Hendrickx,Deinze,MEIO-CAMPO,BEL2,-0.26,51,-0.26,51
8653,L. Schoofs,Lommel SK,MEIO-CAMPO,BEL2,-0.48,35,-0.48,35
8654,B. Egüez,Guabirá,MEIO-CAMPO,BOL,-1.08,9,-1.08,10
8655,Samuel Pozo,Santa Cruz,MEIO-CAMPO,BOL,-1.24,4,-1.24,4
8656,R. Lima,Real Tomayapo,MEIO-CAMPO,BOL,0.43,72,0.43,72
8657,J. Gómez,Gran Mamoré,MEIO-CAMPO,BOL,-0.8,26,-0.8,26
8658,L. Maygua,Real Tomayapo,MEIO-CAMPO,BOL,0.57,74,0.57,74
8659,E. Vaca,Blooming,MEIO-CAMPO,BOL,-0.3,44,-0.3,44
8660,J. Ribera,Royal Pari,MEIO-CAMPO,BOL,0.65,79,0.65,79
8661,J. Magallanes,Universitario de Vinto,MEIO-CAMPO,BOL,-0.2,47,-0.2,48
8662,D. Navarro,Independiente Petrolero,MEIO-CAMPO,BOL,-1.01,16,-1.01,16
8663,Darío Torrico,Aurora,MEIO-CAMPO,BOL,2.51,97,2.51,97
8664,A. Bejarano,Gran Mamoré,MEIO-CAMPO,BOL,-0.89,24,-0.89,24
8665,D. Vargas,Independiente Petrolero,MEIO-CAMPO,BOL,-0.15,51,-0.15,51
8666,M. Salazar,Always Ready,MEIO-CAMPO,BOL,0.32,68,0.32,68
8667,I. Cárdenas,Santa Cruz,MEIO-CAMPO,BOL,-1.06,13,-1.06,13
8668,S. Galindo,Nacional Potosí,MEIO-CAMPO,BOL,0.36,71,0.36,71
8669,M. Alaníz,Aurora,MEIO-CAMPO,BOL,1.98,96,1.98,96
8670,J. Ortíz,Santa Cruz,MEIO-CAMPO,BOL,-0.97,18,-0.97,18
8671,L. López,The Strongest,MEIO-CAMPO,BOL,0.75,82,0.75,82
8672,R. Cardozo,Wilstermann,MEIO-CAMPO,BOL,-0.03,56,-0.03,56
8673,G. Cristaldo,Nacional Potosí,MEIO-CAMPO,BOL,1.28,91,1.28,91
8674,J. Capurro,Atlético Rafaela,MEIO-CAMPO,BOL,-0.21,46,-0.21,46
8675,V. Cuellar,The Strongest,MEIO-CAMPO,BOL,-0.02,57,-0.02,57
8676,G. Villamíl,LDU Quito,MEIO-CAMPO,BOL,1.2,88,1.2,88
8677,M. Avilés,Real Tomayapo,MEIO-CAMPO,BOL,-1.45,1,-1.45,1
8678,R. Rodríguez,Al Quwa Al Jawiya,MEIO-CAMPO,BOL,-0.58,37,-0.58,37
8679,Rafinha,Blooming,MEIO-CAMPO,BOL,0.3,66,0.3,66
8680,R. Amaral,Wilstermann,MEIO-CAMPO,BOL,1.46,94,1.46,94
8681,D. Rojas,The Strongest,MEIO-CAMPO,BOL,0.19,62,0.19,62
