Atleta,Equipe Janela Análise,Posição,Liga,Participação,Recomposição,Retenção Posse,Arranque,Bola aérea,Último passe,Finalização,Drible,Oportunismo,Participação_percentil,Recomposição_percentil,Retenção_posse_percentil,Arranque_percentil,Bola_aérea_percentil,ùltimo_passe_percentil,Finalização_percentil,Drible_percentil,Oportunismo_percentil
S. Rodríguez,Junior,ATACANTE,COL,0.65,-0.01,0.77,-0.3,-0.53,-1.65,3.43,0.45,5.77,71,53,80,47,49,13,100,67,100
J. Caicedo,Atlético Huila,ATACANTE,COL,0.09,-0.73,0.09,0.67,-1.75,-1.9,-0.08,0.74,-0.68,60,33,58,73,13,9,49,84,38
B. Gil,Tolima,ATACANTE,COL,-0.4,1.07,-0.33,1.83,1.18,-0.98,-0.73,0.1,0.73,42,76,47,87,76,31,38,60,78
J. Ramos,La Equidad,ATACANTE,COL,1.75,4.2,0.62,-0.57,1.1,0.12,-1.21,-1.64,-1.17,91,100,73,40,71,64,27,2,22
O. Duarte,Jaguares de Córdoba,ATACANTE,COL,-0.07,2.52,-1.15,-1.31,1.76,-0.11,0.08,-0.58,-0.65,53,93,16,22,84,56,53,36,40
K. Viveros,Sarajevo,ATACANTE,COL,-0.27,-2.19,-0.71,2.1,-2.08,-0.37,-1.27,2.61,-1.55,44,7,29,91,7,53,22,98,13
K. Valencia,Deportivo Pereira,ATACANTE,COL,0.03,0.09,0.11,2.38,-0.62,-0.74,-1.72,0.77,-1.43,58,60,60,96,42,40,11,87,18
T. Ángel,Atlético Nacional,ATACANTE,COL,0.68,2.7,-0.93,-1.94,-2.19,0.21,2.79,-0.82,3.47,73,98,18,11,4,67,98,20,98
F. Uribe,Millonarios,ATACANTE,COL,-0.76,1.72,-0.36,-2.51,1.19,-1.26,0.84,-1.56,0.01,29,82,44,2,78,22,78,4,58
J. Lloreda,La Equidad,ATACANTE,COL,0.72,-0.23,0.88,0.27,2.87,2.54,-1.74,0.52,-1.83,78,49,82,64,100,91,9,71,7
D. López,Deportivo Pasto,ATACANTE,COL,-1.34,-2.17,-1.55,-1.37,-2.02,-1.38,-0.15,-0.55,0.86,16,9,9,20,9,20,47,38,80
I. Camargo,Unión Magdalena,ATACANTE,COL,-0.55,-1.3,-0.82,0.01,-1.3,-0.72,1.21,-0.47,1.71,33,24,24,58,27,44,84,44,91
M. Gómez,Boyacá Chicó,ATACANTE,COL,0.01,-1.61,0.34,-1.29,2.49,-1.59,0.96,-1.02,0.18,56,18,64,24,91,16,80,16,64
Arley Rodríguez,Deportivo Pereira,ATACANTE,COL,1.38,-0.56,1.41,2.01,0.88,0.57,0.67,0.28,-0.23,89,42,89,89,67,69,67,64,51
G. Ramírez,Deportivo Cali,ATACANTE,COL,2.21,0.69,2.15,0.47,1.87,-0.73,-0.19,-0.16,-0.38,93,69,98,71,87,42,44,51,49
W. Morelo,Águilas Doradas,ATACANTE,COL,-0.15,-2.55,0.68,1.65,-1.42,2.57,1.44,0.59,2.33,47,4,78,82,24,93,87,78,93
L. Díaz,Envigado,ATACANTE,COL,1.09,1.93,0.49,2.66,0.96,-2.07,-0.29,2.18,-1.1,84,87,69,98,69,7,42,96,27
T. Gutiérrez,Deportivo Cali,ATACANTE,COL,4.29,-0.31,3.95,0.42,-1.74,3.97,-2.37,-0.18,-2.47,100,47,100,69,16,98,2,49,2
P. Bueno,Alianza Petrolera,ATACANTE,COL,-0.99,0.62,-0.36,-1.99,1.41,0.11,0.14,-0.81,0.55,22,67,42,9,82,62,58,22,76
R. Márquez,Unión Magdalena,ATACANTE,COL,-0.12,1.12,0.08,-0.02,0.19,0.7,-0.96,-0.81,-0.05,49,78,56,56,56,71,31,24,53
H. Rodallega,Santa Fe,ATACANTE,COL,0.18,-1.24,1.67,0.4,2.71,-0.89,-0.57,0.06,1.05,62,27,91,67,98,36,40,58,82
Angelo Rodríguez,Deportivo Pereira,ATACANTE,COL,-0.47,-1.54,-0.24,0.94,-1.58,-0.4,0.0,1.23,-1.23,40,20,51,78,22,51,51,91,20
L. Sandoval,Deportivo Cali,ATACANTE,COL,1.29,0.56,0.63,-0.63,-0.61,0.71,0.77,1.36,0.38,87,64,76,36,44,73,73,93,67
G. Lencina,Junior,ATACANTE,COL,0.61,2.64,-0.24,-1.62,2.56,-1.06,1.18,-0.04,0.1,67,96,49,16,93,24,82,53,62
G. Britos,Deportivo Pasto,ATACANTE,COL,-2.0,0.1,-2.74,-0.83,-0.05,-2.43,0.12,-0.81,-0.4,4,62,2,31,51,2,56,27,47
D. Pabón,Atlético Nacional,ATACANTE,COL,2.49,-0.15,1.76,-0.33,-1.79,4.83,-2.12,2.77,-0.85,98,51,93,44,11,100,4,100,33
B. Léon,Medellín,ATACANTE,COL,2.22,2.32,1.02,2.27,-1.59,1.21,-2.02,0.7,-1.64,96,91,84,93,20,80,7,80,11
D. Herazo,Tolima,ATACANTE,COL,-1.92,-0.71,-0.91,-0.13,-0.55,-0.54,0.41,-0.66,0.47,11,36,20,51,47,49,60,31,71
A. Ramos,América de Cali,ATACANTE,COL,0.79,1.04,1.35,0.18,0.02,3.72,0.59,0.54,-1.17,82,73,87,62,53,96,62,73,24
Jefferson Duque,Atlético Nacional,ATACANTE,COL,-1.38,-0.62,-1.22,-2.14,0.53,-1.02,0.78,-1.06,0.52,13,40,13,7,60,27,76,13,73
C. Bacca,Junior,ATACANTE,COL,-1.99,-0.85,-1.41,-2.29,-1.09,1.17,1.5,-0.48,1.21,7,31,11,4,33,78,89,42,84
F. Suárez,América de Cali,ATACANTE,COL,0.62,1.75,0.36,-1.66,2.04,-1.75,-1.32,0.58,-0.61,69,84,67,13,89,11,20,76,42
L. Castro,Millonarios,ATACANTE,COL,-0.11,1.29,0.0,0.11,-1.12,1.27,-0.88,0.28,-0.84,51,80,53,60,31,82,36,62,36
W. Cruz,Boyacá Chicó,ATACANTE,COL,-0.87,-0.63,-0.47,-0.6,0.69,-2.4,-1.57,-0.83,-1.91,24,38,40,38,64,4,13,18,4
L. Pons,Medellín,ATACANTE,COL,0.72,2.06,0.58,-0.23,0.63,-0.89,-1.47,-1.07,-1.78,76,89,71,49,62,38,18,11,9
D. Moreno,Once Caldas,ATACANTE,COL,-1.98,-3.98,-0.7,0.75,-0.63,1.3,0.71,-1.17,0.42,9,2,31,76,40,84,69,7,69
M. Pérez,Águilas Doradas,ATACANTE,COL,-2.57,-1.93,-0.85,-0.05,1.17,-0.1,2.0,-1.15,2.92,2,11,22,53,73,58,93,9,96
Marcelo Moreno,Independiente del Valle,ATACANTE,ECU,-1.98,-1.92,-1.14,-0.56,1.13,-2.07,-0.56,-1.11,-1.21,3,9,21,48,82,9,39,9,21
J. Bauman,Barcelona,ATACANTE,ECU,0.23,0.97,-0.56,-1.04,0.67,-0.2,-0.83,-0.65,1.13,61,82,36,36,61,52,33,36,82
J. Andrade,Orense,ATACANTE,ECU,2.52,4.52,0.0,-2.26,-0.82,1.63,-2.42,-0.25,-2.48,100,100,48,9,27,79,6,55,6
A. Cabeza,Emelec,ATACANTE,ECU,1.03,0.47,0.12,-1.29,-0.04,-0.85,0.25,-0.28,0.55,88,73,52,21,42,42,64,48,76
E. López,Deportivo Cuenca,ATACANTE,ECU,-1.36,-0.28,-1.51,-1.29,-2.01,-1.42,0.02,-0.87,0.21,15,48,9,24,12,30,52,21,61
V. Angulo,Gualaceo,ATACANTE,ECU,-0.91,-1.36,0.48,0.33,0.17,-1.83,-1.14,-1.19,-0.36,24,27,70,64,55,18,24,3,52
J. Medina,Aucas,ATACANTE,ECU,-0.63,-1.13,-0.6,-0.81,0.92,-0.04,2.48,-0.68,1.72,39,33,33,39,70,61,97,33,85
F. Castelli,Delfin,ATACANTE,ECU,1.75,3.65,1.18,1.55,0.99,-2.01,0.22,0.77,-0.96,91,97,88,85,79,12,61,79,36
G. Cortéz,Barcelona,ATACANTE,ECU,0.48,-2.4,0.75,2.29,-1.57,2.78,0.13,0.36,0.19,67,6,76,94,21,91,58,73,58
M. Bolaños,Emelec,ATACANTE,ECU,0.98,-0.22,1.84,2.66,-2.17,3.51,1.99,-0.99,3.04,85,52,94,97,9,100,91,18,94
J. Ayoví,Emelec,ATACANTE,ECU,-1.39,0.11,-1.18,-1.55,-0.71,-1.67,0.31,-0.51,-0.68,12,58,18,18,30,24,67,42,42
J. Cifuente,Aucas,ATACANTE,ECU,-1.63,-2.9,-1.27,-1.83,-1.08,0.43,2.38,-0.53,2.94,6,3,15,12,24,70,94,39,91
R. Carrillo,Portimonense,ATACANTE,ECU,0.71,0.6,0.56,0.63,-0.19,2.31,1.34,1.48,0.67,76,76,73,67,39,85,85,85,79
J. Alman,Delfin,ATACANTE,ECU,-0.25,1.28,0.29,1.07,-0.23,-1.45,-0.55,-0.05,-0.06,48,85,61,73,36,27,42,67,55
R. Rivas,Orense,ATACANTE,ECU,-1.32,-1.25,-0.92,-1.07,0.94,-0.05,-1.25,-0.51,-0.73,18,30,27,30,73,55,21,45,39
J. Angulo,LDU Quito,ATACANTE,ECU,-0.55,0.04,0.28,0.1,0.13,1.09,-0.12,0.58,-0.57,42,55,58,58,52,76,48,76,48
L. Díaz,Independiente del Valle,ATACANTE,ECU,0.14,-0.5,0.34,1.94,0.95,-0.98,-1.65,1.52,-2.64,55,42,67,91,76,39,9,91,3
C. Martínez Borja,Orense,ATACANTE,ECU,0.3,0.45,-1.07,-2.27,0.88,0.23,-0.77,-0.23,0.54,64,70,24,6,64,64,36,58,73
M. Hoyos,Independiente del Valle,ATACANTE,ECU,0.67,-1.49,1.67,1.31,1.31,3.26,1.16,-0.75,0.29,73,21,91,79,88,97,82,24,67
D. Coronel,Orense,ATACANTE,ECU,-1.11,-1.51,-1.66,-1.25,-1.85,-1.74,-1.45,-0.27,-1.96,21,18,6,27,15,21,12,52,9
J. Blanco,Técnico Universitario,ATACANTE,ECU,-0.68,-1.39,0.33,-1.05,2.14,-1.12,4.15,-1.0,4.49,30,24,64,33,100,36,100,15,100
B. Palacios,El Nacional,ATACANTE,ECU,0.19,-0.57,0.99,1.76,1.22,3.15,0.07,2.68,-1.04,58,39,85,88,85,94,55,100,33
D. Ledesma,Mushuc Runa,ATACANTE,ECU,-1.48,0.13,-1.36,-2.48,2.08,-2.27,0.44,-1.11,-0.58,9,61,12,3,97,6,73,6,45
J. Sornoza,Independiente del Valle,ATACANTE,ECU,2.29,-1.83,2.16,1.29,-2.49,2.39,-2.64,-0.06,-1.62,97,12,97,76,6,88,3,64,15
J. Ordoñez,El Nacional,ATACANTE,ECU,-0.69,-1.6,-0.4,0.19,0.07,0.36,0.33,1.56,0.23,27,15,42,61,48,67,70,94,64
H. Batalla,Cumbayá,ATACANTE,ECU,2.24,2.95,2.52,4.2,-0.42,2.29,-0.27,1.1,-1.14,94,94,100,100,33,82,45,82,27
A. Rodríguez,Delfin,ATACANTE,ECU,0.79,2.8,-0.89,-0.58,-1.65,-0.04,-1.05,-0.07,-1.06,79,91,30,45,18,58,30,61,30
F. Fydriszewski,Barcelona,ATACANTE,ECU,0.59,2.17,0.83,-0.14,1.4,-0.56,0.48,-1.0,0.41,70,88,82,52,91,45,76,12,70
R. Becerra,Deportivo Cuenca,ATACANTE,ECU,-0.39,-0.33,-0.52,-1.74,0.52,-1.22,0.99,-0.74,1.86,45,45,39,15,58,33,79,27,88
D. Porozo,Libertad,ATACANTE,ECU,-0.67,-0.72,-1.84,1.03,-2.84,-0.27,-1.39,1.52,-1.53,33,36,3,70,3,48,15,88,18
M. Parrales,Guayaquil City,ATACANTE,ECU,-0.64,0.14,-0.35,-0.64,0.01,-1.84,1.78,-0.68,3.26,36,64,45,42,45,15,88,30,97
A. Maziero,Cumbayá,ATACANTE,ECU,-0.2,0.17,0.18,-0.04,1.61,-2.3,-1.1,0.19,-1.14,52,67,55,55,94,3,27,70,24
S. González,Mushuc Runa,ATACANTE,ECU,0.98,0.94,0.76,1.53,0.92,0.53,-1.31,1.77,-1.79,82,79,79,82,67,73,18,97,12
J. Enciso,Brighton,ATACANTE,ENG1,3.3,1.19,1.93,2.13,0.34,3.76,-0.69,3.5,-0.85,100,75,96,94,59,96,37,100,37
K. Iheanacho,Leicester City,ATACANTE,ENG1,-0.09,-0.73,0.04,0.53,0.19,3.41,-0.36,-0.31,1.04,55,41,53,71,55,94,47,47,75
C. Adams,Southampton,ATACANTE,ENG1,-0.02,-1.5,0.93,0.37,0.48,-0.29,-2.32,-1.23,-2.12,59,24,80,67,65,57,2,4,4
João Félix,Barcelona,ATACANTE,ENG1,2.52,-1.75,1.95,1.65,-1.85,-0.52,-1.31,1.85,-0.87,94,16,98,90,10,51,20,96,33
Z. Amdouni,Burnley,ATACANTE,ENG1,1.04,1.48,0.24,0.94,-1.63,-1.37,-1.78,1.81,-1.99,75,80,59,80,16,18,10,94,8
K. Sulemana,Southampton,ATACANTE,ENG1,1.52,3.52,0.03,1.22,-1.72,-1.37,-1.61,2.03,-2.46,80,98,51,86,12,20,12,98,2
J. Mateta,Crystal Palace,ATACANTE,ENG1,-0.78,-0.67,-1.25,-2.16,0.08,0.42,-2.2,-1.07,-1.61,31,43,16,6,51,73,4,12,22
C. Archer,Sheffield United,ATACANTE,ENG1,-1.66,-0.87,-2.3,-1.35,-2.53,-1.97,-0.37,-0.35,-1.9,12,39,4,14,4,2,45,43,10
A. Mitrović,Al Hilal,ATACANTE,ENG1,0.46,-1.17,0.47,-0.66,3.17,-0.76,-0.15,-0.91,1.38,71,27,63,33,98,49,55,20,78
M. Diaby,Aston Villa,ATACANTE,ENG1,-1.25,-2.33,-1.26,1.2,-3.04,3.93,-0.78,0.41,-2.02,20,8,14,84,2,98,31,71,6
C. Wood,Nottingham Forest,ATACANTE,ENG1,-0.69,-1.08,-0.06,-0.14,2.28,-1.26,2.29,-1.44,1.76,35,31,49,53,94,24,92,2,86
Rodrigo,Al Rayyan,ATACANTE,ENG1,-1.21,-0.04,-0.65,0.18,-1.11,-0.95,0.64,-0.34,-1.77,22,55,33,61,22,37,71,45,18
D. Ings,West Ham United,ATACANTE,ENG1,-1.6,1.04,-1.56,-1.04,-1.36,-0.8,0.12,-0.94,-0.23,14,73,10,20,18,45,61,16,57
P. Bamford,Leeds United,ATACANTE,ENG1,-0.2,-0.27,0.57,0.88,2.51,-1.51,-0.54,-0.86,-0.08,51,51,69,78,96,16,41,24,65
Pablo Sarabia,Wolverhampton Wanderers,ATACANTE,ENG1,2.12,2.75,1.71,0.12,-1.94,1.89,-2.1,-0.54,-1.81,92,90,90,59,8,84,6,39,14
N. Jackson,Chelsea,ATACANTE,ENG1,-0.55,-1.73,-0.5,-0.26,-0.63,-0.06,0.66,0.48,2.18,39,22,39,45,37,63,73,75,90
J. Vardy,Leicester City,ATACANTE,ENG1,-2.48,-0.61,-1.53,-0.6,0.33,-1.73,0.32,-0.82,-0.03,4,45,12,39,57,6,65,25,67
Carlos Vinícius,Fulham,ATACANTE,ENG1,-1.95,-1.74,-2.41,-3.04,-0.6,-0.98,2.25,-1.15,1.43,10,20,2,2,39,33,90,8,80
C. Morris,Luton Town,ATACANTE,ENG1,0.09,-0.15,-0.17,-0.79,0.45,-1.1,-1.01,-0.78,-0.48,61,53,45,29,61,27,27,27,43
A. Martial,Manchester United,ATACANTE,ENG1,-0.29,-0.98,0.63,-1.41,-0.8,-0.76,1.02,-0.57,-0.2,47,35,73,12,29,47,80,35,59
Richarlison,Tottenham Hotspur,ATACANTE,ENG1,1.27,1.48,0.54,-0.17,4.12,1.17,-2.02,0.33,-1.26,78,78,65,51,100,80,8,67,24
N. Maupay,Brentford,ATACANTE,ENG1,-0.77,0.27,-0.98,-1.42,0.74,-1.57,-1.45,-0.88,0.67,33,61,20,10,75,10,16,22,73
D. Gray,Al Ettifaq,ATACANTE,ENG1,1.57,1.98,-0.52,-0.93,-2.37,-1.54,-1.29,1.49,-0.94,82,84,37,24,6,12,22,92,31
D. Welbeck,Brighton,ATACANTE,ENG1,-0.23,0.88,0.7,-0.92,1.24,-0.39,0.5,-0.57,-0.53,49,71,76,25,86,55,69,33,39
Gabriel Jesus,Arsenal,ATACANTE,ENG1,2.87,3.18,1.45,-0.24,1.02,1.0,0.96,1.33,0.67,98,96,88,47,80,78,78,90,71
T. Awoniyi,Nottingham Forest,ATACANTE,ENG1,-0.65,0.35,-0.47,0.51,0.58,-1.52,3.84,-1.17,3.42,37,65,41,69,69,14,100,6,96
D. Calvert-Lewin,Everton,ATACANTE,ENG1,-0.11,-1.74,1.25,3.13,1.56,-1.69,-1.23,-0.23,-0.37,53,18,84,98,88,8,24,53,47
R. Jiménez,Fulham,ATACANTE,ENG1,0.12,0.69,0.64,0.05,0.48,-1.08,-1.49,-1.08,-1.24,63,67,75,57,63,29,14,10,25
C. Wilson,Newcastle United,ATACANTE,ENG1,-2.01,-2.92,-1.65,-0.61,-0.51,-0.21,2.96,-0.64,4.52,8,6,6,37,41,59,98,31,100
L. Trossard,Arsenal,ATACANTE,ENG1,1.8,3.0,1.29,0.31,-0.75,4.94,-1.36,0.18,-1.89,84,92,86,65,33,100,18,65,12
E. Buendía,Aston Villa,ATACANTE,ENG1,2.58,3.79,1.21,-0.63,0.72,2.13,-0.59,-0.42,-1.79,96,100,82,35,73,86,39,41,16
I. Toney,Brentford,ATACANTE,ENG1,0.61,-0.98,0.57,-0.79,0.62,-0.06,0.68,-0.11,2.18,73,33,71,31,71,65,75,55,92
E. Ferguson,Brighton,ATACANTE,ENG1,-1.36,-1.16,-0.67,-2.16,-0.33,-1.86,1.37,-0.94,2.12,18,29,31,4,47,4,84,18,88
E. Nketiah,Arsenal,ATACANTE,ENG1,-0.9,-0.46,-0.81,-0.23,-0.65,-0.91,0.4,-0.02,-0.28,29,47,24,49,35,41,67,57,53
Hee-Chan Hwang,Wolverhampton Wanderers,ATACANTE,ENG1,0.37,2.42,-0.13,-0.28,-0.82,-0.94,2.81,0.13,1.68,69,88,47,43,25,39,96,63,84
D. Núñez,Liverpool,ATACANTE,ENG1,0.28,0.01,0.56,1.91,0.8,2.55,-1.12,0.52,-1.13,67,57,67,92,76,90,25,76,27
M. Antonio,West Ham United,ATACANTE,ENG1,-0.07,-1.23,-0.7,0.72,2.18,-1.08,0.08,0.7,-0.38,57,25,29,75,92,31,59,80,45
A. Isak,Newcastle United,ATACANTE,ENG1,-0.91,-1.81,-0.42,0.22,-0.51,-0.95,1.46,0.55,1.53,27,12,43,63,43,35,86,78,82
C. Gakpo,Liverpool,ATACANTE,ENG1,1.82,2.12,0.74,-0.37,-0.47,0.26,0.21,0.42,0.46,88,86,78,41,45,71,63,73,69
H. Kane,Bayern München,ATACANTE,ENG1,-0.45,-2.96,0.1,-1.26,1.21,0.01,2.02,0.02,3.16,43,4,55,16,84,67,88,59,94
Matheus Cunha,Wolverhampton Wanderers,ATACANTE,ENG1,1.21,3.16,0.11,1.2,0.11,-0.8,-0.74,0.81,-1.74,76,94,57,82,53,43,33,82,20
O. Édouard,Crystal Palace,ATACANTE,ENG1,-0.32,0.83,-0.61,-1.07,-0.75,-1.28,-0.2,-0.23,-0.13,45,69,35,18,31,22,51,51,63
Y. Wissa,Brentford,ATACANTE,ENG1,-1.45,-0.46,-0.93,-0.96,1.02,-0.49,-0.17,-0.56,-0.31,16,49,22,22,82,53,53,37,49
B. Johnson,Tottenham Hotspur,ATACANTE,ENG1,-0.5,0.21,-0.73,1.34,-1.66,-0.14,-0.51,0.88,-1.06,41,59,27,88,14,61,43,84,29
K. Havertz,Arsenal,ATACANTE,ENG1,1.88,1.77,2.36,-0.1,1.82,0.04,-0.88,-0.75,-0.86,90,82,100,55,90,69,29,29,35
M. Rashford,Manchester United,ATACANTE,ENG1,0.28,-0.96,1.75,3.97,-0.23,1.37,-0.21,1.31,-0.51,65,37,94,100,49,82,49,88,41
E. Haaland,Manchester City,ATACANTE,ENG1,-2.98,-3.45,-1.57,-1.92,0.83,0.61,2.43,-1.02,4.16,2,2,8,8,78,76,94,14,98
B. Mbeumo,Brentford,ATACANTE,ENG1,1.8,1.34,1.73,2.43,-1.0,2.77,0.0,0.94,-0.31,86,76,92,96,24,92,57,86,51
Son Heung-Min,Tottenham Hotspur,ATACANTE,ENG1,-1.03,-2.21,0.26,0.78,-1.31,2.37,0.89,0.12,-0.14,24,10,61,76,20,88,76,61,61
D. Solanke,Bournemouth,ATACANTE,ENG1,-0.93,0.28,-0.81,0.58,-0.81,-1.2,-0.74,0.41,-0.25,25,63,25,73,27,25,35,69,55
O. Watkins,Aston Villa,ATACANTE,ENG1,-2.06,-1.77,-1.09,-0.85,0.49,0.52,1.29,-0.28,1.2,6,14,18,27,67,75,82,49,76
I. Ugbo,Cardiff City,ATACANTE,ENG2,-1.22,0.35,-0.67,-1.71,0.65,-0.6,3.91,-1.12,3.69,19,63,29,7,73,40,99,7,99
J. Coburn,Middlesbrough,ATACANTE,ENG2,-0.65,-2.25,-0.6,-1.28,-0.53,0.53,-0.31,-0.24,0.02,40,5,34,16,45,79,42,52,48
M. Osmajić,Preston North End,ATACANTE,ENG2,-2.17,-2.67,-1.97,-0.33,-1.09,-0.15,2.26,-0.68,2.03,1,3,3,42,23,59,96,29,92
K. Iheanacho,Leicester City,ATACANTE,ENG2,1.05,-2.09,1.14,0.27,-2.3,1.47,0.33,-0.25,2.02,79,11,85,64,4,86,67,51,90
S. Long,Reading,ATACANTE,ENG2,1.03,1.5,0.52,0.25,-0.09,-2.14,-1.69,-0.47,-2.72,78,79,67,62,59,4,12,40,3
D. Burgzorg,Huddersfield Town,ATACANTE,ENG2,-1.64,-1.39,-1.43,0.42,-1.36,-1.14,-0.04,0.89,-2.24,11,29,10,68,19,25,52,82,5
K. Nisbet,Millwall,ATACANTE,ENG2,-1.76,-1.41,-1.12,-0.72,-0.95,-0.44,0.06,-0.5,1.4,3,27,15,34,30,48,56,38,86
J. Vardy,Leicester City,ATACANTE,ENG2,-1.39,-1.56,-0.18,-2.13,0.16,0.38,3.61,-0.73,3.39,14,19,49,3,66,78,97,25,97
M. Rajović,Watford,ATACANTE,ENG2,-1.37,-1.3,-0.97,-0.9,0.69,-1.8,5.16,-1.35,3.26,15,32,22,27,75,10,100,1,96
C. Alcaraz,Southampton,ATACANTE,ENG2,3.78,2.73,3.9,-1.18,0.43,1.25,-2.64,0.98,-1.21,100,89,100,19,70,84,1,85,25
Lucas João,Shanghai Port,ATACANTE,ENG2,-0.48,1.43,-0.59,-2.85,2.37,-1.16,0.47,-1.16,0.36,41,78,36,1,88,22,70,5,60
J. Windass,Sheffield Wednesday,ATACANTE,ENG2,1.24,1.29,0.91,1.86,-0.62,1.35,-2.53,0.36,-1.27,82,74,81,92,41,85,3,73,22
B. Sharp,Los Angeles Galaxy,ATACANTE,ENG2,-1.02,-1.17,-0.64,-1.62,-0.71,-1.17,-1.22,-0.51,-1.39,26,33,32,8,38,21,21,37,18
R. Hardie,Plymouth Argyle,ATACANTE,ENG2,-1.65,-2.23,-0.71,-0.11,0.03,0.17,0.02,0.02,0.62,10,7,26,47,63,70,55,63,68
A. Connolly,Hull City,ATACANTE,ENG2,-1.76,-1.58,-1.82,-0.04,-1.65,-0.98,1.28,-0.02,2.4,4,16,4,49,12,27,86,60,95
T. Parrott,Excelsior,ATACANTE,ENG2,1.59,1.21,0.54,2.28,-1.8,-1.23,-1.31,0.2,-2.16,89,73,71,96,10,19,18,68,7
C. Martin,Bristol Rovers,ATACANTE,ENG2,0.31,-2.01,0.65,-1.53,3.91,-1.62,0.75,-1.11,-0.27,62,12,74,10,99,12,78,8,42
S. Kaba,Midtjylland,ATACANTE,ENG2,-0.79,-1.11,0.17,-0.75,2.41,-1.69,1.91,-1.04,4.46,34,34,60,33,89,11,92,12,100
C. Evans,Preston North End,ATACANTE,ENG2,0.89,1.12,0.5,0.06,0.78,-0.08,1.05,0.0,-0.02,74,71,66,53,77,63,84,62,47
O. McBurnie,Sheffield United,ATACANTE,ENG2,1.44,0.84,2.07,1.73,2.88,-0.58,0.87,-0.66,-1.38,85,67,96,90,95,42,81,30,19
S. Armstrong,Queens Park Rangers,ATACANTE,ENG2,-1.16,-1.55,-1.26,0.71,-1.51,-0.14,-1.69,0.35,-2.02,22,21,12,78,16,60,11,71,12
H. Wright,Coventry City,ATACANTE,ENG2,-0.25,-0.06,-0.68,0.21,-0.05,0.08,-0.5,1.06,1.16,49,58,27,60,62,67,37,86,81
E. Simms,Coventry City,ATACANTE,ENG2,-0.98,-2.53,-0.32,1.66,0.56,-0.35,-1.26,1.16,-0.95,27,4,40,86,71,51,19,88,33
D. Dike,West Bromwich Albion,ATACANTE,ENG2,-0.71,-0.96,0.09,-0.5,2.31,-0.13,0.66,-0.53,1.1,38,40,59,40,86,62,74,36,79
V. Bayo,Watford,ATACANTE,ENG2,-0.47,-1.44,0.4,1.06,-0.73,-0.62,0.79,-0.71,1.25,42,25,63,82,36,38,79,26,84
G. Hirst,Ipswich Town,ATACANTE,ENG2,-1.71,-3.35,-0.6,-0.15,-0.49,2.69,-0.04,-0.64,0.95,7,1,33,45,48,92,51,32,75
J. Stansfield,Birmingham City,ATACANTE,ENG2,0.37,3.55,-1.74,0.25,-2.99,0.18,-0.71,0.82,-1.46,63,97,7,63,1,71,30,81,16
O. Estupiñán,Metz,ATACANTE,ENG2,-0.97,0.47,-1.22,-2.11,0.22,-1.86,-0.1,-1.03,0.54,30,64,14,4,68,8,49,14,66
D. Gayle,Stoke City,ATACANTE,ENG2,-0.35,-0.26,-0.03,-1.08,1.21,0.08,0.08,-1.17,-0.65,45,52,55,22,81,68,58,4,37
T. Conway,Bristol City,ATACANTE,ENG2,-1.71,-2.2,-2.22,-1.01,-2.14,-2.14,0.72,-0.28,1.01,8,8,1,23,7,3,77,48,78
L. Gibbs,Norwich City,ATACANTE,ENG2,2.32,4.66,1.19,-1.28,-0.75,-0.91,-0.42,-0.42,-3.57,96,100,86,18,34,30,40,41,1
A. Carroll,Amiens SC,ATACANTE,ENG2,0.78,-1.46,1.9,0.55,3.75,-1.09,2.01,-0.94,2.07,73,23,95,71,97,26,95,18,93
T. Pukki,Minnesota United,ATACANTE,ENG2,-1.08,-1.53,-1.81,-0.32,-2.61,2.42,-1.72,1.47,-1.61,25,22,5,44,3,89,10,90,15
K. Etete,Cardiff City,ATACANTE,ENG2,1.54,2.26,1.06,0.11,2.02,-0.94,-0.57,0.32,-0.53,86,88,84,58,85,29,32,70,40
J. Gelhardt,Leeds United,ATACANTE,ENG2,0.68,1.4,-0.22,-0.77,-0.42,-0.89,-1.38,-0.14,0.12,70,77,44,32,49,32,14,53,49
G. Rutter,Leeds United,ATACANTE,ENG2,1.03,0.09,0.67,-0.86,-0.12,6.79,-1.2,2.41,-0.97,77,59,77,29,58,100,22,99,32
C. Archer,Aston Villa,ATACANTE,ENG2,-0.76,-1.9,-1.04,-0.67,-2.0,3.22,1.95,0.38,0.38,36,14,19,36,8,95,93,74,63
S. Gallagher,Blackburn Rovers,ATACANTE,ENG2,0.04,1.74,0.43,1.38,3.26,-0.16,-0.12,-0.31,-0.43,55,84,64,85,96,58,48,47,41
K. Davis,Udinese,ATACANTE,ENG2,-0.23,-1.05,-0.21,-0.05,-0.71,0.0,-1.03,0.05,-2.05,51,37,47,48,40,64,26,64,8
A. Fletcher,Sheffield Wednesday,ATACANTE,ENG2,0.05,0.28,-0.23,0.6,-0.61,-0.4,-0.79,-0.8,-1.2,56,62,42,74,42,49,27,21,26
H. Cornick,Bristol City,ATACANTE,ENG2,1.32,3.96,-0.14,1.12,-1.51,-0.27,-0.53,-0.41,-1.1,84,99,52,84,15,55,36,42,27
D. Ward,Huddersfield Town,ATACANTE,ENG2,-1.2,-0.69,-0.51,0.06,-0.3,-0.57,-1.73,-0.37,-1.88,21,44,38,52,53,44,8,45,14
